IE_XML_ID;IE_NAME;IP_PROP9;IP_PROP10;IP_PROP12;IC_GROUP0;IE_SORT;IP_PROP13;IP_PROP17
1100;ACUARELLA FRUTAS  10x10;74;7;53;Кухня;500;;1.2
1101;ACUARELLA VINO  10x10;74;7;53;Кухня;501;;1.2
1102;RAISIN  10x10;74;7;53;Кухня;502;;1.2
1103;CUBE SHADOW TOUCH  10x10;74;7;53;Кухня;503;;1.2
1104;FRESH  10x20;74;7;53;Кухня;504;;1.2
1105;FRUIT MOSAIC  10x20;74;7;53;Кухня;505;;1.2
1106;CHERRY  10x20;74;7;53;Кухня;506;;1.2
1107;COFFEE BEANS  10x20;74;7;53;Кухня;507;;1.2
1108;TEA 1  10x20;74;7;53;Кухня;508;;1.2
1109;HONEY  10x20;74;7;53;Кухня;509;;1.2
1110;VASE  10x20;74;7;53;Кухня;510;;1.2
1111;COFFEE CAPUCCINO  10x30;74;7;53;Кухня;511;;1.2
1112;TEA 2  10x30;74;7;53;Кухня;512;;1.2
1113;TEA 3 WHITE  10x30;74;7;53;Кухня;513;;1.2
1114;JAPAN TEA 3  10x30;74;7;53;Кухня;514;;1.2
1115;WINE 2  10x30;74;7;53;Кухня;515;;1.2
1116;WINE 5  10x30;74;7;53;Кухня;516;;1.2
1117;CANDY FRUITS  10x30;74;7;53;Кухня;517;;1.2
1118;MERINGUE  10x30;74;7;53;Кухня;518;;1.2
1119;OLIVES  10x30;74;7;53;Кухня;519;;1.2
1120;SPICES  10x30;74;7;53;Кухня;520;;1.2
1121;KITCHEN CUBE  10x30;74;7;53;Кухня;521;;1.2
1122;PARIS  10x30;74;7;53;Кухня;522;;1.2
1123;DIAMOND  10x30;74;7;53;Кухня;523;;1.2
