IE_XML_ID;IE_NAME;IP_PROP9;IP_PROP10;IP_PROP12;IC_GROUP0;IE_SORT;IP_PROP13;IP_PROP17
7000;АГАТ;102;20;53;Гостиная;7000;;1.2
7001;АЗАЛИЯ БОРДОВАЯ;102;20;52;Ванная;7001;;1.2
7002;АЗАЛИЯ ФИСТАШКОВАЯ;102;20;775;Ванная;7002;;1.2
7003;АРИЗОНА;102;20;53;Гостиная;7003;;1.2
7004;БОГЕМА;102;20;52;Ванная;7004;;1.2
7005;ДУБАЙ;102;20;53;Ванная;7005;;1.2
7006;ЛАЗУРЬ;102;20;1733;Ванная;7006;;1.2
7007;МАРСЕЛЬ;102;20;53;Ванная;7007;;1.2
7008;ПРОБКА;102;20;53;Ванная;7008;;1.2
7009;ПРОВАНС;102;20;53;Ванная;7009;;1.2
7010;РАМИНА;102;20;53;Ванная;7010;;1.2
7011;РЕЙНИР;102;20;53;Гостиная;7011;;1.2
7012;РОНДО;102;20;775;Ванная;7012;;1.2
7013;СИМФОНИЯ;102;20;761;Ванная;7013;;1.2
7014;ФРЕЗИЯ РОЗОВАЯ;102;20;52;Ванная;7014;;1.2
7015;ФРЕЗИЯ ЗЕЛЁНАЯ;102;20;52;Ванная;7015;;1.2
7016;ФРЕЗИЯ БЕЖЕВАЯ;102;20;1733;Ванная;7016;;1.2
