IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;ANTIQA\1006 св беж;/images/china1/antiqa_l_beige.jpg;Antiqa L beige;8008;8008;Облицовочная плитка;;1,00;16500;100,00;100,00;300,00;RUB
501;ANTIQA\1014 беж;/images/china1/antiqa_beige.jpg;Antiqa beige;8008;8008;Облицовочная плитка;;1,00;16500;100,00;100,00;300,00;RUB
502;ANTIQA Lama HT1006-A;/images/china1/lama_a.jpg;Lama A;8008;8008;Декор;;80,00;163;100,00;100,00;30,00;RUB
503;ANTIQA Lama HT1006-B;/images/china1/lama_b.jpg;Lama B;8008;8008;Декор;;80,00;163;100,00;100,00;30,00;RUB
504;ANTIQA Lama HT1006-C;/images/china1/lama_c.jpg;Lama C;8008;8008;Декор;;80,00;163;100,00;100,00;30,00;RUB
505;ANTIQA Lama HT1006-P6-1 (к панно);/images/china1/lama_comp_1.jpg;Lama comp 1;8008;8008;Декор;;80,00;163;100,00;100,00;30,00;RUB
506;ANTIQA Lama HT1006-P6-2 (к панно);/images/china1/lama_comp_2.jpg;Lama comp 2;8008;8008;Декор;;80,00;163;100,00;100,00;30,00;RUB
507;ANTIQA Lama HT1006-P6-3 (к панно);/images/china1/lama_comp_3.jpg;Lama comp 3;8008;8008;Декор;;80,00;163;100,00;100,00;30,00;RUB
508;ANTIQA Lama HT1006-P6-4 (к панно);/images/china1/lama_comp_4.jpg;Lama comp 4;8008;8008;Декор;;80,00;163;100,00;100,00;30,00;RUB
509;ANTIQA Lama HT1006-P6-5 (к панно);/images/china1/lama_comp_5.jpg;Lama comp 5;8008;8008;Декор;;80,00;163;100,00;100,00;30,00;RUB
510;ANTIQA Lama HT1006-P6-6 (к панно);/images/china1/lama_comp_6.jpg;Lama comp 6;8008;8008;Декор;;80,00;163;100,00;100,00;30,00;RUB
511;ANTIQA Frutta HT1014-A1;/images/china1/frutta_a.jpg;Frutta A;8008;8008;Декор;;80,00;163;100,00;100,00;30,00;RUB
512;ANTIQA Frutta HT1014-B1;/images/china1/frutta_b.jpg;Frutta B;8008;8008;Декор;;80,00;163;100,00;100,00;30,00;RUB
513;ANTIQA Frutta HT1014-C1;/images/china1/frutta_c.jpg;Frutta C;8008;8008;Декор;;80,00;163;100,00;100,00;30,00;RUB
