IE_XML_ID;IE_NAME;IP_PROP9;IP_PROP10;IP_PROP12;IC_GROUP0;IE_SORT;IP_PROP13;IP_PROP17
7100;ALPI;22;6;51;Гостиная;7101;;1.2
7101;CALABRIA;22;6;51;Гостиная;7102;;1.2
7102;DOLOMITI;22;6;51;Гостиная;7103;;1.2
7103;LANGE;22;6;51;Гостиная;7104;;1.2
7104;MARCHE;22;6;51;Гостиная;7105;;1.2
7105;PIEMONTE;22;6;51;Гостиная;7106;;1.2
7106;SAVOIA;22;6;51;Гостиная;7107;;1.2
7107;SICILIA;22;6;51;Гостиная;7108;;1.2
7108;SORRENTO;22;6;51;Гостиная;7109;;1.2
7109;TRENTINO;22;6;51;Гостиная;7110;;1.2
7110;VERSILIA;22;6;51;Гостиная;7111;;1.2
