IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;ALPI bianco;/images/coliseumgres/alpi_bianco.jpg;Alpi Bianco;7100;7100;Напольная плитка;68508798;1,35;17 800;300,00;300,00;390,00;RUB
501;ALPI bianco Tozzetto Celtico (10*10);/images/coliseumgres/alpi-cheltiko-belyj.jpg;Alpi-CHeltiko-belyj;7100;7100;Бордюр;68508797;36,00;178;100,00;100,00;35,00;RUB
500;CALABRIA bianco;/images/coliseumgres/calabria_bianco.jpg;Calabria bianco;7101;7101;Напольная плитка;66542895;1,22;17 807;450,00;450,00;470,00;RUB
501;CALABRIA marrone;/images/coliseumgres/calabria_marrone.jpg;Calabria marrone;7101;7101;Напольная плитка;66542909;1,22;17 807;450,00;450,00;470,00;RUB
502;CALABRIA Fascia Tropea (10*45);/images/coliseumgres/calabria_tropea_fascia(10*45).jpg;CALABRIA Fascia Tropea (10*45);7101;7101;Бордюр;;8,00;600;100,00;450,00;120,00;RUB
503;CALABRIA Angolo Tropea (10*10);/images/coliseumgres/calabria_tropea_angolo_2.jpg;Calabria tropea_angolo 2;7101;7101;Бордюр;66548042;32,00;178;100,00;100,00;30,00;RUB
500;DOLOMITI bianco;/images/coliseumgres/dolomiti_bianco.jpg;Dolomiti Bianco;7102;7102;Напольная плитка;66540864;1,22;17 807;450,00;450,00;490,00;RUB
501;DOLOMITI grigio;/images/coliseumgres/dolomiti_grigio.jpg;Dolomiti Grigio;7102;7102;Напольная плитка;;1,22;17 807;450,00;450,00;490,00;RUB
502;DOLOMITI beige;/images/coliseumgres/dolomiti_beige.jpg;Dolomiti beige;7102;7102;Напольная плитка;;1,22;17 807;450,00;450,00;490,00;RUB
500;LANGE beige;/images/coliseumgres/lange_beige.jpg;Lange beige;7103;7103;Напольная плитка;66540889;1,22;17 807;450,00;450,00;500,00;RUB
501;LANGE grigio;/images/coliseumgres/lange_grigio.jpg;Lange grigio;7103;7103;Напольная плитка;66540892;1,22;17 807;450,00;450,00;500,00;RUB
500;MARCHE bianco;/images/coliseumgres/marche_bianco.jpg;marche bianco;7104;7104;Напольная плитка;66542910;1,22;17 807;450,00;450,00;500,00;RUB
501;MARCHE marrone;/images/coliseumgres/marche_marrone.jpg;marche marrone;7104;7104;Напольная плитка;66542911;1,22;17 807;450,00;450,00;500,00;RUB
