IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;LOIRE ebano;/images/venus+/loire.jpg;LOIRE;701;701;Напольная плитка;66734919;1,00;20000;450,00;450,00;16,25;EUR
501;LOIRE nogal;/images/venus+/loire.jpg;LOIRE;701;701;Напольная плитка;66734918;1,00;20000;450,00;450,00;16,25;EUR
500;TROYA/PATRAS marfil;/images/venus+/troya_marfil_45x45.jpg;Troya_Marfil_45x45;700;700;Напольная плитка;36100940;1,00;20000;450,00;450,00;15,97;EUR
501;TROYA/PATRAS beige;/images/venus+/troya_beige.jpg;Troya_Beige;700;700;Напольная плитка;36100939;1,00;20000;450,00;450,00;15,97;EUR
502;TROYA/PATRAS gold;/images/venus+/troya_gold_45x45.jpg;Troya_Gold_45x45;700;700;Напольная плитка;36100941;1,00;20000;450,00;450,00;15,97;EUR
503;TROYA Centro (45*45);/images/venus+/centro_troya_45x45.jpg;Centro_Troya_45x45;700;700;Декор;36101048;5,00;4027;450,00;450,00;12,54;EUR
504;TROYA Cenefa (15*45) ;/images/venus+/cenefa_troya_15x45.jpg;Cenefa_Troya_15x45;700;700;Бордюр;36100949;20,00;1357;150,00;450,00;5,50;EUR
505;TROYA Taco (15*15) ;/images/venus+/taco_troya_15x15.jpg;Taco_Troya_15x15;700;700;Бордюр;36101046;20,00;318;150,00;150,00;2,80;EUR
506;OLAMBRILLA metalica (7,5*7,5) латунь;/images/venus+/olambrilla.jpg;Olambrilla;700;700;Декор;1112668;100,00;145;75,00;75,00;3,75;EUR
507;TACO BS196  (7,5*7,5);/images/venus+/bs_1.jpg;BS 1;700;700;Декор;33349826;60,00;80;75,00;75,00;0,55;EUR
