IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;ALBUFERA beige;/images/hispania/albufera_beige__50x10.jpg;Albufera beige  50x10;8300;8300;Облицовочная плитка;43794880;0,75;21871;100,00;500,00;23,18;EUR
501;ALBUFERA verde;/images/hispania/albufera_verde__50x10.jpg;Albufera verde  50x10;8300;8300;Облицовочная плитка;43794930;0,75;21871;100,00;500,00;23,18;EUR
500;CANAIMA crema;/images/hispania/canaima_crema_0037.jpg;canaima crema 0037;8301;8301;Облицовочная плитка;52218703;1,01;18650;150,00;450,00;22,66;EUR
501;CANAIMA beige;/images/hispania/canaima_beige_0036.jpg;canaima beige 0036;8301;8301;Облицовочная плитка;52218701;1,01;18650;150,00;450,00;22,66;EUR
502;CANAIMA gris;/images/hispania/canaima_gris_0033.jpg;canaima gris 0033;8301;8301;Облицовочная плитка;54349662;1,01;18650;150,00;450,00;22,66;EUR
503;CANAIMA marron;/images/hispania/canaima_marron_0029.jpg;canaima marron 0029;8301;8301;Облицовочная плитка;52218704;1,01;18650;150,00;450,00;22,66;EUR
504;CANAIMA wenge;/images/hispania/canaima_wenge_0001.jpg;Canaima Wenge 0001;8301;8301;Облицовочная плитка;52218705;1,01;18650;150,00;450,00;22,66;EUR
500;LORA crema (porcelain);/images/hispania/lora_crema.jpg;LORA crema;8302;8302;Облицовочная плитка;59054728;0,97;16838;147,00;442,00;21,08;EUR
501;LORA grafito (porcelain);/images/hispania/lora_grafito.jpg;LORA grafito;8302;8302;Облицовочная плитка;59054757;0,97;16838;147,00;442,00;21,08;EUR
502;LORA mix cuarzo (porcelain);/images/hispania/lora_mix_cuarzo.jpg;LORA mix cuarzo;8302;8302;Облицовочная плитка;59054767;0,97;16838;147,00;442,00;21,08;EUR
503;LUSITANIA beige ;/images/hispania/lora_mix_beige.jpg;LORA mix beige;8302;8302;Облицовочная плитка;64498625;1,01;18650;150,00;450,00;21,08;EUR
504;LUSITANIA ocre ;/images/hispania/lora_mix_ocre.jpg;LORA mix ocre;8302;8302;Облицовочная плитка;64498645;1,01;18650;150,00;450,00;21,08;EUR
500;MALLORCA beige;/images/hispania/mallorca_beige.jpg;Mallorca beige;8303;8303;Облицовочная плитка;52218702;1,01;18650;150,00;450,00;21,08;EUR
501;MALLORCA crema;/images/hispania/mallorca_crema.jpg;Mallorca crema;8303;8303;Облицовочная плитка;52218706;1,01;18650;150,00;450,00;21,08;EUR
502;MALLORCA gris;/images/hispania/mallorca_gris.jpg;Mallorca gris;8303;8303;Облицовочная плитка;54349664;1,01;18650;150,00;450,00;21,08;EUR
503;MALLORCA marron;/images/hispania/mallorca_marron.jpg;Mallorca marron;8303;8303;Облицовочная плитка;52218707;1,01;18650;150,00;450,00;21,08;EUR
500;TEBAS beige;/images/hispania/tebas_beige_50x10.jpg;Tebas beige 50x10;8304;8304;Облицовочная плитка;43795135;0,75;21871;100,00;500,00;23,18;EUR
501;TEBAS gris;/images/hispania/tebas_gris_50x10.jpg;Tebas gris 50x10;8304;8304;Облицовочная плитка;43795136;0,75;21871;100,00;500,00;23,18;EUR
502;TEBAS marron;/images/hispania/tebas_marron_50x10.jpg;Tebas marron 50x10;8304;8304;Облицовочная плитка;43795137;0,75;21871;100,00;500,00;23,18;EUR
503;TEBAS natural;/images/hispania/tebas_natural_50x10.jpg;Tebas natural 50x10;8304;8304;Облицовочная плитка;43795138;0,75;21871;100,00;500,00;23,18;EUR
