IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;ART bianco gla;/images/venus+/sm250x500-1-art_bi_gla.jpg;SM250X500-1-ART BI GLA;3000;3000;Облицовочная плитка;68382567;1,5;14542;250;500;14,6;EUR
501;ART bianco STR;/images/venus+/sm250x500-1-art_bi.jpg;SM250X500-1-ART BI;3000;3000;Облицовочная плитка;68382575;1,5;14542;250;500;14,9;EUR
502;ART blue gla;/images/venus+/sm250x500-1-art_bl_gla.jpg;SM250X500-1-ART BL GLA;3000;3000;Облицовочная плитка;68382584;1,5;14542;250;500;14,6;EUR
503;ART blue STR;/images/venus+/sm250x500-1-art_bl.jpg;SM250X500-1-ART BL;3000;3000;Облицовочная плитка;68382576;1,5;14542;250;500;14,9;EUR
504;ART VELAx4 (25x50, 4 пл);/images/venus+/dn250x500-1-art_velx4.jpg;DN250X500-1-ART VELX4;3000;3000;Декор;68382623;2;7200;250;500;46,62;EUR
505;ART VELA L, Inserto;/images/venus+/dn250x500-1-art_vela_l.jpg;DN250X500-1-ART VELA L;3000;3000;Декор;68382682;10;2200;250;500;10,38;EUR
506;ART VELA R, Inserto;/images/venus+/dn250x500-1-art_vela_r.jpg;DN250X500-1-ART VELA R;3000;3000;Декор;68382681;10;2200;250;500;10,38;EUR
507;ART MARINA A, Inserto веревка;/images/venus+/dn250x500-1-art_mar_a.jpg;DN250X500-1-ART MAR A;3000;3000;Декор;68382688;8;2200;250;500;10,38;EUR
508;ART MARINA B, Inserto штурвал;/images/venus+/dn250x500-1-art_mar_b.jpg;DN250X500-1-ART MAR B;3000;3000;Декор;68382689;8;2200;250;500;10,38;EUR
509;ART MARINA C, Inserto корабль;/images/venus+/dn250x500-1-art_mar_c.jpg;DN250X500-1-ART MAR C;3000;3000;Декор;68382690;8;2200;250;500;10,38;EUR
510;ART STERx2 (25x50, 2 пл);/images/venus+/art_sterx2.jpg;ART STERx2;3000;3000;Декор;68382632;4;3600;250;500;20,8;EUR
511;ART blue моноколор;/images/venus+/art_bl_str_mo.jpg;ART BL STR MO;3000;3000;Мозаика;68382662;10;1275;300;300;9,32;EUR
512;ART blue szklo mix (керамика+стекло);/images/venus+/art_bl_szk_mo.jpg;ART BL SZK MO;3000;3000;Мозаика;68382678;10;1275;300;300;9,32;EUR
513;ART VELAx4A, Inserto;/images/venus+/dn250x500-1-art_velx4_a.jpg;DN250X500-1-ART VELX4 A;3000;3000;Декор;68382683;10;2200;250;500;10,38;EUR
514;ART VELAx4B, Inserto;/images/venus+/dn250x500-1-art_velx4_b.jpg;DN250X500-1-ART VELX4 B;3000;3000;Декор;68382684;10;2200;250;500;10,38;EUR
515;ART VELAx4C, Inserto;/images/venus+/dn250x500-1-art_velx4_c.jpg;DN250X500-1-ART VELX4 C;3000;3000;Декор;68382685;10;2200;250;500;10,38;EUR
516;ART VELAx4D, Inserto;/images/venus+/dn250x500-1-art_velx4_d.jpg;DN250X500-1-ART VELX4 D;3000;3000;Декор;68382686;10;2200;250;500;10,38;EUR
517;ART VELAx4E, Inserto;/images/venus+/dn250x500-1-art_velx4_e.jpg;DN250X500-1-ART VELX4 E;3000;3000;Декор;68382687;10;2200;250;500;10,38;EUR
518;ART szklo blu(1,5*50);/images/venus+/lh015x500-1-szklo_bl.jpg;LH015x500-1-SZKLO BL;3000;3000;Бордюр;68382621;20;100;15;500;4,51;EUR
519;UNIVERSAL bianco;/images/venus+/universal_bianco.jpg;UNIVERSAL bianco;3000;3000;Напольная плитка;;1,44;19215;300;300;15,1;EUR
520;UNIVERSAL gris (grigio);/images/venus+/universal_grigio.jpg;Universal Grigio;3000;3000;Напольная плитка;63376225;1,44;19215;300;300;15,1;EUR
