IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;ALL IN WHITE white;/images/tubadzin_160321/ps_all_in_white_white.jpg;ps_all_in_white_white;2020;2020;Облицовочная плитка;73366892;1,07;17 985;298,00;598,00;19,70;EUR
501;ALL IN WHITE grey;/images/tubadzin_160321/ps_all_in_white_grey.jpg;ps_all_in_white_grey;2020;2020;Облицовочная плитка;73367002;1,07;17 985;298,00;598,00;19,70;EUR
502;ALL IN WHITE 1 STR;/images/tubadzin_160321/ps_all_in_white_1str.jpg;ps_all_in_white_1str;2020;2020;Облицовочная плитка;73367003;0,89;17 985;298,00;598,00;20,90;EUR
503;ALL IN WHITE 2 STR;/images/tubadzin_160321/ps_all_in_white_2str.jpg;ps_all_in_white_2str;2020;2020;Облицовочная плитка;73367004;0,89;17 985;298,00;598,00;20,90;EUR
504;ALL IN WHITE 3 STR;/images/tubadzin_160321/ps_all_in_white_3str.jpg;ps_all_in_white_3str;2020;2020;Облицовочная плитка;73367005;0,89;17 985;298,00;598,00;20,90;EUR
505;ALL IN WHITE 4 STR;/images/tubadzin_160321/ps_all_in_white_4str.jpg;ps_all_in_white_4str;2020;2020;Облицовочная плитка;73367006;0,89;17 985;298,00;598,00;20,90;EUR
506;ALL IN WHITE 5 STR;/images/tubadzin_160321/ps_all_in_white_5str.jpg;ps_all_in_white_5str;2020;2020;Облицовочная плитка;73367007;0,89;17 985;298,00;598,00;20,90;EUR
507;ALL IN WHITE 6 STR;/images/tubadzin_160321/ps_all_in_white_6str.jpg;ps_all_in_white_6str;2020;2020;Облицовочная плитка;73367153;0,28;16 070;237,00;78,00;21,45;EUR
508;ALL IN WHITE 1 composicion (209,8*359,8),  42 pcs;/images/tubadzin_160321/ds_all_in_white_1.jpg;ds_all_in_white_1;2020;2020;Декор;73367301;1,00;130 200;3 598,00;2 098,00;277,80;EUR
509;ALL IN WHITE 2 composicion (119,8*209,8), 14 pcs;/images/tubadzin_160321/ds_all_in_white_2.jpg;ds_all_in_white_2;2020;2020;Декор;73367316;1,00;43 400;1 198,00;2 098,00;126,80;EUR
510;MS-ALL IN WHITE white (24,8*30,6);/images/tubadzin_160321/ms_all_in_white_white.jpg;ms_all_in_white_white;2020;2020;Мозаика;73367156;9,00;1 280;306,00;248,00;6,28;EUR
511;MS-ALL IN WHITE grey (24,8*30,6);/images/tubadzin_160321/ms_all_in_white_grey.jpg;ms_all_in_white_grey;2020;2020;Мозаика;73367231;9,00;1 280;306,00;248,00;6,28;EUR
512;P-ALL IN WHITE white;/images/tubadzin_160321/pp_all_in_white_white.jpg;pp_all_in_white_white;2020;2020;Напольная плитка;73367008;1,43;25 890;598,00;598,00;24,65;EUR
513;P-ALL IN WHITE grey;/images/tubadzin_160321/pp_all_in_white_grey.jpg;pp_all_in_white_grey;2020;2020;Напольная плитка;73367009;1,43;25 890;598,00;598,00;24,65;EUR
