IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;АГАТ палевый;/images/bereza/agat.jpg;Agat;7000;7000;Напольная плитка;69796276;1,41;17447;418,00;418,00;436,00;RUB
501;АГАТ палевый декор 1;/images/bereza/agat_decor_1.jpg;Agat decor 1;7000;7000;Напольная плитка;69796295;1,41;17447;418,00;418,00;436,00;RUB
502;АГАТ палевый декор 2;/images/bereza/agat_decor_2.jpg;Agat decor 2;7000;7000;Напольная плитка;69796299;1,41;17447;418,00;418,00;436,00;RUB
500;АЗАЛИЯ белая;/images/bereza/azalija_belyi_250x350.jpg;azalija_belyi_250x350;7001;7001;Облицовочная плитка;69796830;1,40;13910;250,00;350,00;377,00;RUB
501;АЗАЛИЯ бордовая;/images/bereza/azalija_bordovyi_250x350.jpg;azalija_bordovyi_250x350;7001;7001;Облицовочная плитка;69796866;1,40;13910;250,00;350,00;377,00;RUB
502;АЗАЛИЯ Сакура 1 к панно;/images/bereza/azalija_panno_sakura_1_bordovyi.jpg;azalija panno_sakura_1_bordovyi;7001;7001;Декор;69797430;10,00;1300;250,00;350,00;200,00;RUB
503;АЗАЛИЯ Сакура 2 к панно;/images/bereza/azalija_panno_sakura_2_bordovyi.jpg;azalija panno_sakura_2_bordovyi;7001;7001;Декор;69797433;10,00;1300;250,00;350,00;200,00;RUB
504;АЗАЛИЯ Сакура 3 к панно;/images/bereza/azalija_panno_sakura_3_bordovyi.jpg;azalija panno_sakura_3_bordovyi;7001;7001;Декор;69797435;10,00;1300;250,00;350,00;200,00;RUB
505;АЗАЛИЯ Сакура 4 к панно;/images/bereza/azalija_panno_sakura_4_bordovyi.jpg;azalija panno_sakura_4_bordovyi;7001;7001;Декор;69797436;10,00;1300;250,00;350,00;200,00;RUB
506;АЗАЛИЯ Сакура бордовый (5,4*35);/images/bereza/azalija_sakura_list.jpg;azalija sakura list;7001;7001;Бордюр;69797958;28,00;307;54,00;350,00;100,00;RUB
507;АЗАЛИЯ бордовый;/images/bereza/azalija_bordovyi_deco.jpg;azalija_bordovyi_deco;7001;7001;Декор;69797420;9,00;1300;250,00;350,00;160,00;RUB
508;АЗАЛИЯ бордовый (5,4*35);/images/bereza/azalija_bordovyi_list.jpg;azalija_bordovyi_list;7001;7001;Бордюр;69797981;28,00;307;54,00;350,00;80,00;RUB
509;АЗАЛИЯ бордовая;/images/bereza/azalija_g_bordovyi_300x300.jpg;azalija_g_bordovyi_300x300;7001;7001;Напольная плитка;69796317;1,35;17521;300,00;300,00;393,00;RUB
500;АЗАЛИЯ белая;/images/bereza/azalija_belyi_250x350.jpg;azalija_belyi_250x350;7002;7002;Облицовочная плитка;69796830;1,40;13910;250,00;350,00;377,00;RUB
501;АЗАЛИЯ фисташковая;/images/bereza/azalija_fistashkovyi_250x350.jpg;azalija_fistashkovyi_250x350;7002;7002;Облицовочная плитка;69796868;1,40;13910;250,00;350,00;377,00;RUB
502;АЗАЛИЯ фисташковая;/images/bereza/azalija_g_fistashkovyi_300x300.jpg;azalija_g_fistashkovyi_300x300;7002;7002;Напольная плитка;69796315;1,35;17521;300,00;300,00;393,00;RUB
503;АЗАЛИЯ Лилия 1 фисташковый;/images/bereza/azalija_dekor_lilija_1_fistashkovyi.jpg;azalija dekor_lilija_1_fistashkovyi;7002;7002;Декор;69797447;10,00;1300;250,00;350,00;201,00;RUB
504;АЗАЛИЯ Лилия 2 фисташковый;/images/bereza/azalija_dekor_lilija_2_fistashkovyi.jpg;azalija dekor_lilija_2_fistashkovyi;7002;7002;Декор;69797448;10,00;1300;250,00;350,00;201,00;RUB
505;АЗАЛИЯ Лилия фисташковый 1 к панно;/images/bereza/azalija_panno_lilija_1_fistashkovyi.jpg;azalija panno_lilija_1_fistashkovyi;7002;7002;Декор;69797439;10,00;1300;250,00;350,00;200,00;RUB
506;АЗАЛИЯ Лилия фисташковый 2 к панно;/images/bereza/azalija_panno_lilija_2_fistashkovyi.jpg;azalija panno_lilija_2_fistashkovyi;7002;7002;Декор;69797440;10,00;1300;250,00;350,00;200,00;RUB
507;АЗАЛИЯ Лилия фисташковый 3 к панно;/images/bereza/azalija_panno_lilija_3_fistashkovyi.jpg;azalija panno_lilija_3_fistashkovyi;7002;7002;Декор;69797441;10,00;1300;250,00;350,00;200,00;RUB
508;АЗАЛИЯ Лилия фисташковый 4 к панно;/images/bereza/azalija_panno_lilija_4_fistashkovyi.jpg;azalija panno_lilija_4_fistashkovyi;7002;7002;Декор;69797442;10,00;1300;250,00;350,00;200,00;RUB
509;АЗАЛИЯ Орхидея 1 фисташковый;/images/bereza/azalija_panno_orxideja_1_fistashkovyi.jpg;azalija panno_orxideja_1_fistashkovyi;7002;7002;Декор;69797459;10,00;1300;250,00;350,00;201,00;RUB
510;АЗАЛИЯ Орхидея 2 фисташковый;/images/bereza/azalija_panno_orxideja_2_fistashkovyi.jpg;azalija panno_orxideja_2_fistashkovyi;7002;7002;Декор;69797461;10,00;1300;250,00;350,00;201,00;RUB
511;АЗАЛИЯ Орхидея фисташковый 1 к панно;/images/bereza/azalija_panno_orxideja_1_fistashkovyi.jpg;azalija panno_orxideja_1_fistashkovyi;7002;7002;Декор;69797451;10,00;1300;250,00;350,00;200,00;RUB
512;АЗАЛИЯ Орхидея фисташковый 2 к панно;/images/bereza/azalija_panno_orxideja_2_fistashkovyi.jpg;azalija panno_orxideja_2_fistashkovyi;7002;7002;Декор;69797452;10,00;1300;250,00;350,00;200,00;RUB
513;АЗАЛИЯ Орхидея фисташковый 3 к панно;/images/bereza/azalija_panno_orxideja_3_fistashkovyi.jpg;azalija panno_orxideja_3_fistashkovyi;7002;7002;Декор;69797453;10,00;1300;250,00;350,00;200,00;RUB
514;АЗАЛИЯ Орхидея фисташковый 4 к панно;/images/bereza/azalija_panno_orxideja_4_fistashkovyi.jpg;azalija panno_orxideja_4_fistashkovyi;7002;7002;Декор;69797454;10,00;1300;250,00;350,00;200,00;RUB
