IE_XML_ID;IE_NAME;IP_PROP9;IP_PROP10;IP_PROP12;IC_GROUP0;IE_SORT;IP_PROP13;IP_PROP17
3000;SPOT;101;17;759;Ванная;3000;;1.2
600;LEGEND;76;7;53;Ванная;600;;1.2
620;GLOSS;77;7;53;Ванная;620;;1.2
640;VELVET;83;7;53;Ванная;640;;1.2
660;BALI ML;86;7;52;Ванная;660;;1.2
661;PARIS;86;7;52;Ванная;661;;1.2
680;ACROPOLIS;85;7;53;Ванная;680;;1.2
681;BALI;85;7;50;Гостиная;681;;1.2
682;ANDROS;85;7;53;Гостиная;682;;1.2
683;TAJO;85;7;53;Гостиная;683;;1.2
684;IRINA;85;7;53;Гостиная;684;;1.2
685;VECCHIO;85;7;53;Гостиная;685;;1.2
