IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;SPOT branco;/images/bathroom/aleluia/spot_branco.jpg;Spot branco;3000;3000;Облицовочная плитка;17483978;1,20;17 365;200,00;500,00;14,75;EUR
501;SPOT preto ;/images/bathroom/aleluia/spot_preto.jpg;Spot preto;3000;3000;Облицовочная плитка;17483938;1,20;17 365;200,00;500,00;14,75;EUR
502;SPOT vermelho ;/images/bathroom/aleluia/spot_vermelho.jpg;Spot vermelho;3000;3000;Облицовочная плитка;17483314;1,20;17 365;200,00;500,00;16,54;EUR
503;KATO SPOT branco (20*50);/images/bathroom/aleluia/spot_kato_br_d2070.jpg;spot kato br D2070;3000;3000;Декор;17486439;9,00;2 350;200,00;500,00;6,01;EUR
504;KATO SPOT preto (20*50);/images/bathroom/aleluia/spot_kato_prt_d2071.jpg;spot kato prt D2071;3000;3000;Декор;17486553;9,00;2 350;200,00;500,00;6,01;EUR
505;KATO SPOT vermelho (20*50);/images/bathroom/aleluia/spot_kato_verm_d2072.jpg;spot kato verm D2072;3000;3000;Декор;17486725;9,00;2 350;200,00;500,00;6,01;EUR
506;SPOT POPPY 1 branco (20*50);/images/bathroom/aleluia/spot_dec_poppy_br_1.jpg;spot dec poppy br 1;3000;3000;Декор;17486436;9,00;2 350;200,00;500,00;6,01;EUR
507;SPOT POPPY 1 preto (20*50);/images/bathroom/aleluia/spot_dec_poppy_prt.jpg;spot dec poppy prt;3000;3000;Декор;17486370;9,00;2 350;200,00;500,00;6,01;EUR
508;SPOT POPPY 1 vermelho (20*50);/images/bathroom/aleluia/spot_dec_poppy_verm.jpg;spot dec poppy verm;3000;3000;Декор;17484603;9,00;2 350;200,00;500,00;6,01;EUR
509;ONDA branco ;/images/bathroom/aleluia/onda__branco.jpg;Onda  Branco;3000;3000;Напольная плитка;17484553;1,00;17 500;333;333;15,14;EUR
510;ONDA preto ;/images/bathroom/aleluia/onda__preto.jpg;Onda  Preto;3000;3000;Напольная плитка;17484400;1,00;17 500;333;333;15,14;EUR
511;ONDA vermelho ;/images/bathroom/aleluia/onda__vermelho.jpg;Onda  Vermelho;3000;3000;Напольная плитка;17484562;1,00;17 500;333;333;20,25;EUR
500;LEGEND crema;/images/bathroom/azulev/legend_crema_25x75.jpg;legend crema 25x75;600;600;Облицовочная плитка;59057247;1,13;19 045;250,00;750,00;20,65;EUR
501;LEGEND BOISERIE crema;/images/bathroom/azulev/legend_boiserie_crema_25x75.jpg;legend boiserie crema 25x75;600;600;Облицовочная плитка;59057272;1,13;19 045;250,00;750,00;23,10;EUR
502;LEGEND Inserto DECORO crema (25*75);/images/bathroom/azulev/legend_inserto_crema.jpg;LEGEND INSERTO CREMA;600;600;Декор;59057275;2,00;4160;250,00;750,00;15,60;EUR
503;LEGEND Listelo DECORO crema (12*25);/images/bathroom/azulev/listelo_legend_decoro_12x25.jpg;LISTELO LEGEND DECORO 12X25;600;600;Бордюр;59057276;4,00;570;120,00;250,00;8,86;EUR
504;LEGEND Listelo REPOSO crema (12*25);/images/bathroom/azulev/listelo_legend_reposo_12x25.jpg;LISTELO LEGEND REPOSO 12X25;600;600;Бордюр;59057277;9,00;570;120,00;250,00;6,30;EUR
505;LEGEND crema;/images/bathroom/azulev/legend_crema_45x45.jpg;legend crema 45x45;600;600;Напольная плитка;63419688;1,00;20 970;450,00;450,00;20,95;EUR
506;LEGEND moka;/images/bathroom/azulev/legend_moka_45x45.jpg;legend moka 45x45;600;600;Напольная плитка;59057400;1,00;20 970;450,00;450,00;20,95;EUR
500;GLOSS crema;/images/bathroom/azuliber/gloss_crema_20x60.jpg;Gloss Crema 20x60;620;620;Облицовочная плитка;51632854;1,56;15 678;200,00;600,00;20,43;EUR
501;GLOSS moka;/images/bathroom/azuliber/gloss_moka_20x60.jpg;Gloss Moka 20x60;620;620;Облицовочная плитка;51632893;1,20;15 678;200,00;600,00;20,43;EUR
502;MOSAICO GLOSS crema Inserto (20*60);/images/bathroom/azuliber/mosaico_gloss_crema.jpg;Mosaico Gloss Crema;620;620;Декор;51633624;10,00;1 780;200,00;600,00;8,24;EUR
503;MOSAICO GLOSS moka Inserto (20*60);/images/bathroom/azuliber/mosaico_gloss_moka.jpg;Mosaico Gloss Moka;620;620;Декор;51633007;10,00;1 780;200,00;600,00;8,24;EUR
504;NAUTICA A Decor (20*60);/images/bathroom/azuliber/nautica_beige_decor_a.jpg;NAUTICA BEIGE DECOR_A;620;620;Декор;51633684;10,00;1 780;200,00;600,00;11,84;EUR
505;NAUTICA B Decor (20*60);/images/bathroom/azuliber/nautica_beige_decor_b.jpg;NAUTICA BEIGE DECOR_B;620;620;Декор;51633698;10,00;1 780;200,00;600,00;11,84;EUR
506;L1560 cobre glitter champagne  (1,5*60);/images/bathroom/azuliber/cobre_glitter.jpg;Cobre glitter;620;620;Бордюр;51633803;24,00;175;15,00;600,00;4,81;EUR
507;GLOSS crema;/images/bathroom/azuliber/gloss_crema_41x41.jpg;Gloss Crema 41x41;620;620;Напольная плитка;51633004;1,50;19 820;408,00;408,00;16,23;EUR
508;GLOSS moka;/images/bathroom/azuliber/gloss_moka_41x41.jpg;Gloss Moka 41x41;620;620;Напольная плитка;51633005;1,50;19 820;408,00;408,00;16,23;EUR
500;VELVET crema;/images/bathroom/keraben/velvet_crema.jpg;Velvet crema;640;640;Облицовочная плитка;64714032;1,08;19 400;300,00;900,00;26,30;EUR
501;VELVET marron;/images/bathroom/keraben/velvet_marr?n.jpg;Velvet marr?n;640;640;Облицовочная плитка;64714033;1,08;19 400;300,00;900,00;26,30;EUR
502;VELVET modul crema;/images/bathroom/keraben/velvet_modul_crema.jpg;Velvet Modul Crema;640;640;Облицовочная плитка;64714045;1,08;19 400;300,00;900,00;30,60;EUR
503;BLOOM crema Composicion (30*90*2 пл);/images/bathroom/keraben/velvet_bloom.jpg;Velvet Bloom;640;640;Декор;64715538;2,00;10 800;600,00;900,00;70,00;EUR
504;BLOOM marron Listelo (5,8*90);/images/bathroom/keraben/velvet_bloom_marron_list.jpg;Velvet bloom marron List;640;640;Бордюр;64715496;6,00;1 050;58,00;900,00;14,80;EUR
505;VELVET MALLA marron Mosaico (30*30);/images/bathroom/keraben/velvet_malla_marr?n.jpg;velvet malla marr?n;640;640;Мозаика;64715506;9,00;1 730;300,00;300,00;10,85;EUR
506;THAI marron;/images/bathroom/keraben/velvet_thai_marron.jpg;Velvet Thai Marron;640;640;Напольная плитка;64714680;1,00;20 570;410,00;410,00;22,00;EUR
500;BALI marfil светло-бежевый;/images/bathroom/mallol/bali_marfil_20x50.jpg;BALI marfil 20x50;660;660;Облицовочная плитка;34523676;1,20;16 589;200,00;500,00;15,38;EUR
501;BALI malva розовый;/images/bathroom/mallol/bali_malva_20x50.jpg;BALI malva 20x50;660;660;Облицовочная плитка;34523684;1,20;16 589;200,00;500,00;16,75;EUR
502;AQUA LINE Inserto (20*50);/images/bathroom/mallol/aqua_line_inserto_20x50.jpg;AQUA LINE Inserto 20x50;660;660;Декор;34532960;5,00;1 880;200,00;500,00;10,65;EUR
503;FEEL Composicion (20*50*2 пл);/images/bathroom/mallol/feel_composicion_20x50x2_пл.jpg;FEEL Composicion 20x50x2 пл;660;660;Декор;34525521;2,00;3 460;400,00;500,00;19,25;EUR
504;PIRAMIDE malva lustre Listelo (1,5*50);/images/bathroom/mallol/piramide_malva_lustre_1_5x50.jpg;piramide_malva_lustre 1_5x50;660;660;Бордюр;39968546;26,00;172;15,00;500,00;4,50;EUR
505;ARCO lila;/images/bathroom/mallol/arco_lila_33x33.jpg;ARCO lila 33x33;660;660;Напольная плитка;34524963;1,33;18 790;333,00;333,00;16,25;EUR
500;PARIS marfil;/images/bathroom/mallol/paris_marfil.jpg;PARIS MARFIL;661;661;Облицовочная плитка;42976960;1,32;19 500;250,00;750,00;23,20;EUR
501;PARIS malva;/images/bathroom/mallol/paris_malva.jpg;PARIS MALVA;661;661;Облицовочная плитка;42976953;1,32;19 500;250,00;750,00;25,50;EUR
502;PARIS lila;/images/bathroom/mallol/paris_lila.jpg;PARIS LILA;661;661;Облицовочная плитка;42976958;1,32;19 500;250,00;750,00;25,50;EUR
503;ORQUIDEA Composicion (25*75*3 пл);/images/bathroom/mallol/composicion_orquidea.jpg;Composicion ORQUIDEA;661;661;Декор;42976948;2,00;11 034;750,00;750,00;55,85;EUR
504;ELEGANCE Inserto (25*75);/images/bathroom/mallol/decor_elegance.jpg;DECOR ELEGANCE;661;661;Декор;42976951;6,00;3 678;250,00;750,00;22,00;EUR
505;ORQUIDEA Listelo (7,5*75);/images/bathroom/mallol/listelo_orquidea.jpg;LISTELO ORQUIDEA;661;661;Бордюр;42976952;18,00;1 100;75,00;750,00;11,17;EUR
506;PALETTE viola listwa murano (2,3*60) ;/images/bathroom/mallol/palette_viola_2,3х60.jpg;Palette viola 2,3х60;661;661;Бордюр;53280448;48,00;317;23,00;600,00;4,29;EUR
507;ARCO lila;/images/bathroom/mallol/arco_lila_33x33.jpg;ARCO lila 33x33;661;661;Напольная плитка;34524963;1,33;18 790;333,00;333,00;16,25;EUR
500;ACROPOLIS cream светлая;/images/bathroom/mapisa/acropolis_cream.jpg;Acropolis cream;680;680;Облицовочная плитка;13446372;1,32;15 530;252,00;404,00;14,85;EUR
501;ACROPOLIS vison тёмная;/images/bathroom/mapisa/acropolis_vison.jpg;Acropolis vison;680;680;Облицовочная плитка;13462968;1,32;15 530;252,00;404,00;14,85;EUR
502;ACROPOLIS-W cream (25,2*40,4), Ventana;/images/bathroom/mapisa/acropolis-w.jpg;Acropolis-W;680;680;Декор;18615516;13,00;1 440;252,00;404,00;4,12;EUR
503;ACROPOLIS vison (6*25), Cenefa;/images/bathroom/mapisa/acropolis_cenefa_6x25.jpg;acropolis cenefa 6x25;680;680;Бордюр;18615722;21,00;220;60,00;250,00;4,40;EUR
504;ACROPOLIS vison (3*25), Cenefa;/images/bathroom/mapisa/acropolis_cenefa_3x25.jpg;acropolis cenefa 3x25;680;680;Бордюр;18615721;46,00;130;30,00;250,00;3,60;EUR
505;ACROPOLIS-T (6*9), Taco;/images/bathroom/mapisa/acropolis-t_6x9.jpg;Acropolis-T 6x9;680;680;Декор;18615672;92,00;95;60,00;90,00;4,01;EUR
506;ACROPOLIS vison;/images/bathroom/mapisa/acropolis_vison_33.jpg;Acropolis Vison 33;680;680;Напольная плитка;13462976;1,58;17 827;336,00;336,00;14,85;EUR
500;ANDROS beige;/images/living_room/mapisa/andros_beige.jpg;andros_beige;682;682;Напольная плитка;13446764;1,43;21 690;452,00;452,00;16,25;EUR
501;ANDROS emperador;/images/living_room/mapisa/andros_emperador.jpg;Andros emperador;682;682;Напольная плитка;28022696;1,43;21 690;452,00;452,00;16,25;EUR
502;ANDROS negro;/images/living_room/mapisa/andros_negro.jpg;andros_negro;682;682;Напольная плитка;13446763;1,43;21 690;452,00;452,00;16,25;EUR
503;ANDROS platinum;/images/living_room/mapisa/andros_gris.jpg;andros gris;682;682;Напольная плитка;13446762;1,43;21 690;452,00;452,00;16,25;EUR
504;ANDROS verde;/images/living_room/mapisa/andros_verde.jpg;Andros verde;682;682;Напольная плитка;28022698;1,43;21 690;452,00;452,00;16,25;EUR
500;BALI silver white;/images/living_room/mapisa/bali_white.jpg;Bali White;681;681;Напольная плитка;25576982;1,06;24 149;146,00;660,00;21,80;EUR
501;BALI silver cherry;/images/living_room/mapisa/bali_cherry.jpg;Bali Cherry;681;681;Напольная плитка;25576981;1,06;24 149;146,00;660,00;21,80;EUR
502;BALI silver africa;/images/living_room/mapisa/bali_africa.jpg;Bali Africa;681;681;Напольная плитка;32764822;1,06;24 149;146,00;660,00;21,80;EUR
503;BALI-T white MIX (7*14), Taco;/images/living_room/mapisa/bali__t_white.jpg;Bali  T white;681;681;Декор;25577182;32,00;130;70,00;140,00;1,76;EUR
504;BALI-T cherry MIX (7*14), Taco;/images/living_room/mapisa/bali__t_cherry.jpg;Bali  T cherry;681;681;Декор;25577183;34,00;130;70,00;140,00;1,76;EUR
500;IRINA;/images/living_room/mapisa/irina_50x50.jpg;Irina 50x50;684;684;Напольная плитка;27010067;1,00;30 140;500,00;500,00;16,60;EUR
501;IRINA Decore;/images/living_room/mapisa/irina_decore_50x50.jpg;Irina Decore 50x50;684;684;Напольная плитка;27010068;1,00;30 140;500,00;500,00;16,60;EUR
