IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;BODEGA burdeos;/images/hispania/bodega_burdeos.jpg;BODEGA BURDEOS;8401;8401;Напольная плитка;30877491;1,35;17000;150,00;450,00;15,85;EUR
501;BODEGA rioja;/images/hispania/bodega_rioja.jpg;BODEGA RIOJA;8401;8401;Напольная плитка;61989474;1,35;17000;150,00;450,00;15,85;EUR
500;BONSAI beige;/images/hispania/oset_bonsai_beige_8x33,3.jpg;Oset Bonsai Beige 8x33,3;8402;8402;Напольная плитка;67338926;1,28;17210;80,00;333,00;17,10;EUR
501;BONSAI brown;/images/hispania/oset_bonsai_brown_8x33,3.jpg;Oset Bonsai Brown 8x33,3;8402;8402;Напольная плитка;67338927;1,28;17210;80,00;333,00;17,10;EUR
502;BONSAI greyed;/images/hispania/oset_bonsai_greyed_8x33,3.jpg;Oset Bonsai Greyed 8x33,3;8402;8402;Напольная плитка;67338925;1,28;17210;80,00;333,00;17,10;EUR
503;BONSAI sand;/images/hispania/oset_bonsai_sand_8x33,3.jpg;Oset Bonsai Sand 8x33,3;8402;8402;Напольная плитка;67338924;1,28;17210;80,00;333,00;17,10;EUR
500;BORNEO masala (mix);/images/hispania/borneo_masala.jpg;Borneo masala;8403;8403;Напольная плитка;62332033;1,28;17210;80,00;333,00;17,10;EUR
500;HOJAS beige (porcelain);/images/hispania/hojas_beige.jpg;HOJAS BEIGE;8404;8404;Напольная плитка;50793252;1,25;17784;325,00;325,00;1 180,00;RUB
501;HOJAS ocre (porcelain);/images/hispania/hojas_ocre.jpg;HOJAS OCRE;8404;8404;Напольная плитка;50793251;1,25;17784;325,00;325,00;1 180,00;RUB
500;IRATI brown (porcelain);/images/hispania/irati_brown_32,5x32,5.jpg;IRATI BROWN 32,5x32,5;8405;8405;Напольная плитка;62332075;1,25;17784;325,00;325,00;20,28;EUR
501;IRATI vermont (porcelain);/images/hispania/irati_vermont_32,5x32,5.jpg;IRATI VERMONT 32,5x32,5;8405;8405;Напольная плитка;62332084;1,25;17784;325,00;325,00;20,28;EUR
500;RUSTICA covadonga (porcelain);/images/hispania/rustica_covadonga.jpg;RUSTICA Covadonga;8406;8406;Напольная плитка;32161375;1,25;17784;325,00;325,00;20,28;EUR
501;RUSTICA sanabria (porcelain);/images/hispania/rustica_sanabria.jpg;RUSTICA Sanabria;8406;8406;Напольная плитка;32161379;1,25;17784;325,00;325,00;20,28;EUR
500;TALA hoces (porcelain);/images/hispania/tala_hoces.jpg;TALA HOCES;8407;8407;Напольная плитка;30876582;1,25;17784;325,00;325,00;20,28;EUR
501;TALA urkiola (porcelain);/images/hispania/tala_urkiola.jpg;TALA URKIOLA;8407;8407;Напольная плитка;30876661;1,25;17784;325,00;325,00;20,28;EUR
500;MONUMENTS blanco;/images/hispania/monuments_blanco.jpg;MONUMENTS BLANCO;8409;8409;Напольная плитка;48781689;1,35;17000;150,00;450,00;15,85;EUR
501;MONUMENTS caoba;/images/hispania/monuments_caoba.jpg;MONUMENTS CAOBA;8409;8409;Напольная плитка;48781705;1,35;17000;150,00;450,00;15,85;EUR
500;TAIGA white;/images/hispania/taiga_white_8x33,3.jpg;TAIGA WHITE 8x33,3;8410;8410;Напольная плитка;62324591;1,28;17210;80,00;333,00;17,10;EUR
501;TAIGA beige;/images/hispania/taiga_beige_8x33,3.jpg;TAIGA BEIGE 8x33,3;8410;8410;Напольная плитка;62324595;1,28;17210;80,00;333,00;17,10;EUR
502;TAIGA maple;/images/hispania/taiga_maple_8x33,3.jpg;TAIGA MAPLE 8x33,3;8410;8410;Напольная плитка;62324593;1,28;17210;80,00;333,00;17,10;EUR
