IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;AQUARIUS beige ST NAR kapinos (33*33);/images/paradyz/stopnica_naroz-na_z_kapinosem__aquarius_beige_33x33x1,1.jpg;STOPNICA NAROZ-NA Z KAPINOSEM  Aquarius Beige 33x33x1,1;4052;4052;Ступень;1109036;2,00;3780;330,00;330,00;15,00;EUR
501;AQUARIUS beige ST PRO kapinos (30*33);/images/paradyz/stopnica_prosta_z_kapinosem_aquarius_beige_30x33x1,1.jpg;STOPNICA PROSTA Z KAPINOSEM Aquarius Beige 30x33x1,1;4052;4052;Ступень;1109084;6,00;3050;300,00;330,00;11,50;EUR
502;AQUARIUS beige KLINK пол;/images/paradyz/aquarius_beige_30_x_30_bazowa_plaski.jpg;aquarius_beige_30 x 30 bazowa plaski;4052;4052;Клинкер пол;1096015;0,99;24940;300,00;300,00;14,00;EUR
503;AQUARIUS beige PODS;/images/paradyz/aquarius_beige_30x14,8_podstopnica_plaski.jpg;aquarius_beige_30x14,8 podstopnica plaski;4052;4052;Подступёнок;1108990;20,00;1120;148,00;300,00;0,65;EUR
504;AQUARIUS beige ELE;/images/paradyz/aquarius_beige_24,5x65,8_elewacja_plaski.jpg;aquarius_beige_24,5x65,8 elewacja plaski;4052;4052;Клинкер фасад;1096067;0,71;16575;65,00;245,00;10,00;EUR
500;AQUARIUS brown ST NAR kapinos (33*33);/images/paradyz/stopnica_naroz-na_z_kapinosem__aquarius_brown_33x33x1,1.jpg;STOPNICA NAROZ-NA Z KAPINOSEM  Aquarius Brown 33x33x1,1;4053;4053;Ступень;1109034;2,00;3780;330,00;330,00;15,00;EUR
501;AQUARIUS brown ST PRO kapinos (30*33);/images/paradyz/stopnica_prosta_z_kapinosem_aquarius_brown_30x33x1,1.jpg;STOPNICA PROSTA Z KAPINOSEM Aquarius Brown 30x33x1,1;4053;4053;Ступень;1109082;6,00;3050;300,00;330,00;11,50;EUR
502;AQUARIUS brown KLINK пол;/images/paradyz/aquarius_brown__30x30_bazowa_plaski.jpg;aquarius_brown__30x30 bazowa plaski;4053;4053;Клинкер пол;1096013;0,99;24940;300,00;300,00;14,00;EUR
503;AQUARIUS brown PODS;/images/paradyz/aquarius_brown_30x14,8_podstopnica_plaski.jpg;aquarius_brown_30x14,8 podstopnica plaski;4053;4053;Подступёнок;1108988;20,00;1120;148,00;300,00;0,65;EUR
504;AQUARIUS brown ELE;/images/paradyz/aquarius_brown_24,5x65,8_elewacja_plaski.jpg;aquarius_brown_24,5x65,8 elewacja plaski;4053;4053;Клинкер фасад;1096065;0,71;16575;65,00;245,00;10,00;EUR
500;CLOUD brown ST NAR duro kapinos (33*33);/images/paradyz/stopnica_naroz_na_z_kapinosem_strukturalna__cloud_brown_duro_33x33x1,1.jpg;STOPNICA NAROZ_NA Z KAPINOSEM STRUKTURALNA  Cloud Brown Duro 33x33x1,1;4054;4054;Ступень;1109015;2,00;3780;330,00;330,00;15,00;EUR
501;CLOUD brown ST PRO duro kapinos (30*33);/images/paradyz/stopnica_prosta_z_kapinosem_strukturalna__cloud_brown_duro_30x33x1,1.jpg;STOPNICA PROSTA Z KAPINOSEM STRUKTURALNA  Cloud Brown Duro 30x33x1,1;4054;4054;Ступень;1109062;6,00;3050;300,00;330,00;11,50;EUR
502;CLOUD brown KLINK пол;/images/paradyz/plytka_bazowa_gladka_cloud_brown_30x30x1,1.jpg;PLYTKA BAZOWA GLADKA Cloud Brown 30x30x1,1;4054;4054;Клинкер пол;1095997;0,99;24940;300,00;300,00;12,50;EUR
503;CLOUD brown ST NAR (30*30);/images/paradyz/stopnica_ryflowana_naroz_na_g_adka_cloud_brown_30x30x1,1.jpg;STOPNICA RYFLOWANA NAROZ_NA G_ADKA Cloud Brown 30x30x1,1;4054;4054;Ступень;1108996;10,00;2240;300,00;300,00;1,55;EUR
504;CLOUD brown ST PRO (30*30);/images/paradyz/stopnica_ryflowana_prosta_g_adka_cloud_brown_30x30x1,1.jpg;STOPNICA RYFLOWANA PROSTA G_ADKA Cloud Brown 30x30x1,1;4054;4054;Ступень;1109042;10,00;2277;300,00;300,00;1,30;EUR
505;CLOUD brown PODS;/images/paradyz/plytka_podstopnicowa_gladka_cloud_brown_30x14,8x1,1.jpg;PLYTKA PODSTOPNICOWA GLADKA Cloud Brown 30x14,8x1,1;4054;4054;Подступёнок;1108966;20,00;1120;148,00;300,00;0,57;EUR
506;CLOUD brown ELE;/images/paradyz/plytka_elewacyjna_gladka_cloud_brown_24,5x6,58x0,74.jpg;PLYTKA ELEWACYJNA GLADKA Cloud Brown 24,5x6,58x0,74;4054;4054;Клинкер фасад;1096044;0,71;16575;65,00;245,00;8,62;EUR
500;CLOUD rosa ST NAR duro kapinos (33*33);/images/paradyz/stopnica_naroz-na_z_kapinosem_strukturalna__cloud_rosa_duro_33x33x1,1.jpg;STOPNICA NAROZ-NA Z KAPINOSEM STRUKTURALNA  Cloud Rosa Duro 33x33x1,1;4055;4055;Ступень;1109024;2,00;3780;330,00;330,00;15,00;EUR
501;CLOUD rosa ST PRO duro kapinos (30*33);/images/paradyz/stopnica_prosta_z_kapinosem_strukturalna__cloud_rosa_duro_30x33x1,1.jpg;STOPNICA PROSTA Z KAPINOSEM STRUKTURALNA  Cloud Rosa Duro 30x33x1,1;4055;4055;Ступень;1109072;6,00;3050;300,00;330,00;11,50;EUR
502;CLOUD rosa KLINK пол;/images/paradyz/plytka_bazowa_gladka_cloud_rosa_30x30x1,1.jpg;PLYTKA BAZOWA GLADKA Cloud Rosa 30x30x1,1;4055;4055;Клинкер пол;1095995;0,99;24940;300,00;300,00;12,50;EUR
503;CLOUD rosa ST NAR (30*30);/images/paradyz/stopnica_ryflowana_narozna_gladka_cloud_rosa_30x30x1,1.jpg;STOPNICA RYFLOWANA NAROZNA GLADKA Cloud Rosa 30x30x1,1;4055;4055;Ступень;1108999;10,00;2240;300,00;300,00;1,55;EUR
504;CLOUD rosa ST PRO (30*30);/images/paradyz/stopnica_ryflowana_prosta_gladka_cloud_rosa_30x30x1,1.jpg;STOPNICA RYFLOWANA PROSTA GLADKA Cloud Rosa 30x30x1,1;4055;4055;Ступень;1109045;10,00;2277;300,00;300,00;1,30;EUR
