IE_XML_ID;IE_NAME;IP_PROP9;IP_PROP10;IP_PROP12;IC_GROUP0;IE_SORT;IP_PROP13;IP_PROP17
2000;ALABASTRINO;55;11;;Ванная;2000;;1.2
2001;ASHEN white grafit;55;11;;Ванная;2001;;1.2
2002;ASHEN beige brown;55;11;;Ванная;2002;;1.2
2003;BIHARA;55;11;;Ванная;2003;;1.2
2004;BILOBA;55;11;;Ванная;2004;;1.2
2005;DUO;55;11;;Ванная;2005;;1.2
2006;ELIDA Stone;55;11;;Ванная;2006;;1.2
2007;ELIDA Landscape;55;11;;Ванная;2007;;1.2
2008;EPOXY;55;11;;Ванная;2008;;1.2
2009;JOY;55;11;;Ванная;2009;;1.2
2010;LAVISH;55;11;;Ванная;2010;;1.2
2011;MARBEL;55;11;;Ванная;2011;;1.2
2012;MAXIMA azure;55;11;;Ванная;2012;;1.2
2013;MAXIMA beige;55;11;;Ванная;2013;;1.2
2014;MAXIMA white black;55;11;;Ванная;2014;;1.2
2015;MINIMAL;55;11;;Ванная;2015;;1.2
2016;ONIS;55;11;;Ванная;2016;;1.2
2017;SHABBY CHIC;55;11;;Ванная;2017;;1.2
2018;SYRIA;55;11;;Ванная;2018;;1.2
2019;ZIRCONIUM;55;11;;Ванная;2019;;1.2
