IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;QUEEN OLGA white;/images/venus+/olgawhite25x70.jpg;OlgaWhite25x70;751;751;Облицовочная плитка;62689516;1,43;20260;253,00;706,00;21,50;EUR
501;QUEEN OLGA boiserie;/images/venus+/olgaboiserie25x70.jpg;OlgaBoiserie25x70;751;751;Облицовочная плитка;62689518;1,43;20260;253,00;706,00;23,40;EUR
502;QUEEN OLGA riga;/images/venus+/olgariga25x70.jpg;OlgaRiga25x70;751;751;Облицовочная плитка;62689519;1,43;20260;253,00;706,00;22,25;EUR
503;QUEEN OLGA decore;/images/venus+/olgadecore25x70.jpg;OlgaDecore25x70;751;751;Облицовочная плитка;62689517;1,43;20260;253,00;706,00;23,40;EUR
504;W-QUEEN OLGA (25,3*70,6), Ventana;/images/venus+/olga_ventana_25x70.jpg;Olga ventana 25x70;751;751;Декор;62690926;4,00;3600;253,00;706,00;14,75;EUR
505;T-QUEEN OLGA (d 120 mm), Taco;/images/venus+/olga_taco_2.jpg;Olga Taco 2;751;751;Декор;62690929;4,00;300;120,00;120;8,10;EUR
506;QUEEN OLGA mix Cenefa (7*25);/images/venus+/olga_mix.jpg;Olga mix;751;751;Бордюр;62690932;20,00;430;70,00;250,00;6,95;EUR
507;QUEEN OLGA Cornisa (5*25);/images/venus+/olga_cornisa.jpg;Olga Cornisa;751;751;Бордюр;62690934;24,00;310;50,00;250,00;6,65;EUR
508;QUEEN OLGA Zocalo (13*25);/images/venus+/olga_zocalo.jpg;Olga Zocalo;751;751;Бордюр;62690933;21,00;850;130,00;250,00;8,85;EUR
509;PRESENT nacar Cenefa (2*25);/images/venus+/olga_present_white_2x251.jpg;Olga Present White 2x251;751;751;Бордюр;62690935;39,00;130;20,00;250,00;2,70;EUR
