IE_SORT;IE_NAME;IE_DETAIL_PICTURE;IE_DETAIL_PICTURE;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;MONOCOLOR MILANO blanco brillo (10*10);/images/kitchen/absolut/blanco_milano_10x10.jpg;BLANCO MILANO 10X10;1100;1100;Облицовочная плитка;68505920;1;13850;100;100;21,93;EUR
501;MONOCOLOR MILANO blanco rocoso PR10;/images/kitchen/absolut/monocolor_blanco_milano_brillo_prec10.jpg;monocolor_blanco_milano_brillo_prec10;1100;1100;Облицовочная плитка;68671115;1;13850;200;200;15,8;EUR
502;ACUARELLA FRUTAS Composicion (20*40);/images/kitchen/absolut/composicion_acuarela_frutas_20x40.jpg;COMPOSICION ACUARELA FRUTAS 20X40;1100;1100;Декор;68508164;11;1120;200;400;15,1;EUR
503;SET ACUARELA FRUTAS A (10*10), 4 плитки;/images/kitchen/absolut/set_acuarela_frutas_a_(4_pzs)_10x10.jpg;SET ACUARELA FRUTAS A (4 PZS) 10X10;1100;1100;Декор;68507237;6;560;200;200;7,86;EUR
504;SET ACUARELA FRUTAS B (10*10), 4 плитки;/images/kitchen/absolut/set_acuarela_frutas_b_(4_pzs)_10x10.jpg;SET ACUARELA FRUTAS B (4 PZS) 10X10;1100;1100;Декор;68508139;6;560;200;200;7,86;EUR
500;MONOCOLOR MILANO blanco brillo (10*10);/images/kitchen/absolut/blanco_milano_10x10.jpg;BLANCO MILANO 10X10;1101;1101;Облицовочная плитка;68505920;1;13850;100;100;21,93;EUR
501;MONOCOLOR MILANO blanco rocoso PR10;/images/kitchen/absolut/monocolor_blanco_milano_brillo_prec10.jpg;monocolor_blanco_milano_brillo_prec10;1101;1101;Облицовочная плитка;68671115;1;13850;200;200;15,8;EUR
502;ACUARELLA VINO  Composicion (20*40);/images/kitchen/absolut/composicion_acuarela_vino_20x40.jpg;COMPOSICION ACUARELA VINO 20X40;1101;1101;Декор;68508165;11;1120;200;400;15,1;EUR
503;SET ACUARELA VINO  A (10*10), 4 плитки;/images/kitchen/absolut/set_acuarela_vino_a_(4_pzs)_10x10.jpg;SET ACUARELA VINO A (4 PZS) 10X10;1101;1101;Декор;68508145;6;560;200;200;7,86;EUR
504;SET ACUARELA VINO  B (10*10), 4 плитки;/images/kitchen/absolut/set_acuarela_vino_b_(4_pzs)_10x10..jpg;SET ACUARELA VINO B (4 PZS) 10X10.;1101;1101;Декор;68508146;6;560;200;200;7,86;EUR
500;MONOCOLOR MILANO blanco brillo (10*10);/images/kitchen/absolut/blanco_milano_10x10.jpg;BLANCO MILANO 10X10;1102;1102;Облицовочная плитка;68505920;1;13850;100;100;21,93;EUR
501;MONOCOLOR MILANO blanco rocoso PR10;/images/kitchen/absolut/monocolor_blanco_milano_brillo_prec10.jpg;monocolor_blanco_milano_brillo_prec10;1102;1102;Облицовочная плитка;68671115;1;13850;200;200;15,8;EUR
502;RAISIN Composicion (20*40);/images/kitchen/absolut/composicion_raisin_40x20.jpg;COMPOSICION RAISIN 40X20;1102;1102;Декор;68508163;11;1120;200;400;15,1;EUR
503;SET RAISIN A (10*10), 4 плитки;/images/kitchen/absolut/set_raisin_a_(4_pzs)_10x10.jpg;SET RAISIN A (4 PZS) 10X10;1102;1102;Декор;68508142;6;560;200;200;7,86;EUR
504;SET RAISIN B (10*10), 4 плитки;/images/kitchen/absolut/set_raisin_b_(_4pzs)_10x10.jpg;SET RAISIN B ( 4PZS) 10X10;1102;1102;Декор;68508141;6;560;200;200;7,86;EUR
500;MONOCOLOR MILANO blanco brillo (10*10);/images/kitchen/absolut/blanco_milano_10x10.jpg;BLANCO MILANO 10X10;1103;1103;Облицовочная плитка;68505920;1;13850;100;100;21,93;EUR
501;MONOCOLOR MILANO blanco rocoso PR10;/images/kitchen/absolut/monocolor_blanco_milano_brillo_prec10.jpg;monocolor_blanco_milano_brillo_prec10;1103;1103;Облицовочная плитка;68671115;1;13850;200;200;15,8;EUR
502;CUBE MIX SHADOW (10*10);/images/kitchen/absolut/cube_shadow_mix.jpg;Cube shadow mix;1103;1103;Декор;68506410;38;140;100;100;4,55;EUR
503;CUBE MIX TOUCH (10*10);/images/kitchen/absolut/cube_touch_mix.jpg;Cube touch mix;1103;1103;Декор;68506418;38;140;100;100;4,55;EUR
500;MONOCOLOR blanco (10*20);/images/kitchen/absolut/blanco_10x20.jpg;BLANCO 10x20;1106;1106;Облицовочная;58302792;1;13885;100;200;15,52;EUR
501;CHERRY 1 (10*20);/images/kitchen/absolut/decor_cherry_01_10x20.jpg;DECOR CHERRY 01 10X20;1106;1106;Декор;68471078;28;275;100;200;3,4;EUR
502;CHERRY 2 (10*20);/images/kitchen/absolut/decor_cherry_02_10x20.jpg;DECOR CHERRY 02 10X20;1106;1106;Декор;68471079;28;275;100;200;3,4;EUR
503;CHERRY Composicion (30*20), 3 плитки;/images/kitchen/absolut/composicion_cherry_30x20.jpg;COMPOSICION CHERRY 30X20;1106;1106;Декор;68471390;9;825;300;200;11,89;EUR
500;MONOCOLOR crema (10*20);/images/kitchen/absolut/crema_10x20.jpg;CREMA 10x20;1107;1107;Облицовочная;58302626;1;13885;100;200;15,85;EUR
501;MONOCOLOR marron (10*20);/images/kitchen/absolut/marron_10x20.jpg;MARRON 10x20;1107;1107;Облицовочная;58302779;1;13885;100;200;17;EUR
502;COFFEE BEANS 1 (10*20);/images/kitchen/absolut/decor_coffee_beans_01_10x20.jpg;DECOR COFFEE BEANS 01 10X20;1107;1107;Декор;58303589;28;275;100;200;4,08;EUR
503;COFFEE BEANS 2 (10*20);/images/kitchen/absolut/decor_coffee_beans_02_10x20.jpg;DECOR COFFEE BEANS 02 10X20;1107;1107;Декор;58304908;28;275;100;200;4,08;EUR
