IE_SORT;IE_NAME;IE_DETAIL_PICTURE;IE_DETAIL_PICTURE;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;CREMA marfil;/images/bathroom/ibero/crema_marfil.jpg;Crema marfil;1158;1158;Облицовочная;44579857;1,5;19666;250;750;22,93;EUR
503;CITY-1 Inserto (25*75);/images/bathroom/ibero/decor_city_1.jpg;Decor City 1;1158;1158;Декор;44580638;6;3510;250;750;850;RUB
504;CITY-2 Inserto (25*75);/images/bathroom/ibero/decor_city_2.jpg;Decor City 2;1158;1158;Декор;44580639;6;3510;250;750;850;RUB
505;TELVA-A Inserto (25*75);/images/bathroom/ibero/telva_a.jpg;Telva_A;1158;1158;Декор;44580635;6;3510;250;750;1 200,00;RUB
506;TELVA-B Inserto (25*75);/images/bathroom/ibero/telva_b.jpg;Telva_B;1158;1158;Декор;44580636;6;3510;250;750;1 200,00;RUB
507;TELVA-C Inserto (25*75);/images/bathroom/ibero/telva_c.jpg;Telva_C;1158;1158;Декор;44580637;6;3510;250;750;1 200,00;RUB
502;CREMA marfil;/images/bathroom/ibero/crema_marfil_31x31.jpg;Crema marfil 31x31;1158;1158;Напольная;44580658;1;19850;316;316;19,76;EUR
500;FUSION white;/images/bathroom/ibero/fusion_white_20x50.jpg;Fusion White 20x50;1150;1150;Облицовочная;44579972;1,2;15840;200;500;16,77;EUR
501;FUSION grey;/images/bathroom/ibero/fusion_grey_20x50.jpg;Fusion Grey 20x50;1150;1150;Облицовочная;44580033;1,2;15840;200;500;16,77;EUR
502;FUSION marengo;/images/bathroom/ibero/fusion_marengo_20x50.jpg;Fusion Marengo 20x50;1150;1150;Облицовочная;48595301;1,2;15840;200;500;16,77;EUR
503;"KOAN A Inserto ""Волна"" (20*50)";/images/bathroom/ibero/decor_koan_a.jpg;Decor Koan A;1150;1150;Декор;44580472;8;1585;200;500;10,23;EUR
504;"KOAN B Inserto ""Камни"" (20*50)";/images/bathroom/ibero/decor_koan_b.jpg;Decor Koan B;1150;1150;Декор;44580473;8;1585;200;500;10,23;EUR
505;"KOAN C Inserto ""Орхидея"" (20*50)";/images/bathroom/ibero/decor_koan_c.jpg;Decor Koan C;1150;1150;Декор;44580474;8;1585;200;500;10,23;EUR
506;DIPLOMATIC marengo Inserto (20*50);/images/bathroom/ibero/decor_diplomatic_marengo.jpg;Decor Diplomatic Marengo;1150;1150;Декор;44580430;12;1585;200;500;2;EUR
