IE_SORT;IE_NAME;IE_DETAIL_PICTURE;IE_DETAIL_PICTURE;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;ALABASTRINO R1;/images/bathroom/tubadzin/w-alabastrino_ret.jpg;W-Alabastrino Ret;2000;2000;Облицовочная плитка;;1,16;17987;327;593;21;EUR
501;D-ALABASTRINO 3, панно 2 пл;/images/bathroom/tubadzin/d-alabastrino-3.jpg;D-Alabastrino-3;2000;2000;Декор;;3;6750;593;656;31,4;EUR
502;L-ALABASTRINO 3 (16,2*59,3);/images/bathroom/tubadzin/l-alabastrino3.jpg;L-Alabastrino3;2000;2000;Бордюр;;9;1688;162;593;5,1;EUR
503;LP-Toreja (3*48,5);/images/bathroom/tubadzin/lp-toreja.jpg;LP-Toreja;2000;2000;Декор;19007883;20;322;30;485;1,55;EUR
504;MSP-ALABASTRINO (32,7*29,5);/images/bathroom/tubadzin/msp-alabastrino_list.jpg;MSP-Alabastrino_list;2000;2000;Мозаика;69350608;10;1322;327;295;7;EUR
505;P-ALABASTRINO;/images/bathroom/tubadzin/alabastrino_45.jpg;Alabastrino 45;2000;2000;Напольная плитка;40354193;1,62;18950;450;450;12;EUR
500;ASHEN 1 grafit;/images/bathroom/tubadzin/ashen-1.jpg;Ashen-1;2001;2001;Облицовочная плитка;68207530;1,07;17987;298;598;22,55;EUR
501;ASHEN 2 white;/images/bathroom/tubadzin/ashen-2.jpg;Ashen-2;2001;2001;Облицовочная плитка;68207545;1,07;17987;298;598;22,55;EUR
502;D-ASHEN dekor 1 grafit;/images/bathroom/tubadzin/d-ashen_1.jpg;D-Ashen 1;2001;2001;Декор;68208588;6;3133;298;598;12,55;EUR
503;D-ASHEN dekor 2 grey;/images/bathroom/tubadzin/d-ashen_2.jpg;D-Ashen 2;2001;2001;Декор;68208589;6;3133;298;598;12,55;EUR
504;L-ASHEN 1 (2,3*59,8);/images/bathroom/tubadzin/l-ashen-1.jpg;L-Ashen-1;2001;2001;Бордюр;68208840;14;274;23;598;4,15;EUR
505;MS-ASHEN 1 grafit (29,8*29,8);/images/bathroom/tubadzin/ms-ashen_1.jpg;MS-Ashen 1;2001;2001;Мозаика;68505898;9;1322;298;298;6,3;EUR
506;MS-ASHEN 2 grey (29,8*29,8);/images/bathroom/tubadzin/ms-ashen_2.jpg;MS-Ashen 2;2001;2001;Мозаика;68505907;9;1322;298;298;6,3;EUR
507;P-ASHEN 1 grafit;/images/bathroom/tubadzin/p-ashen-1.jpg;P-Ashen-1;2001;2001;Напольная плитка;68208911;1,6;19188;448;448;20,3;EUR
508;P-ASHEN 2 grey;/images/bathroom/tubadzin/p-ashen-2.jpg;P-Ashen-2;2001;2001;Напольная плитка;69160527;1,6;19188;448;448;20,3;EUR
500;ASHEN 3 brown;/images/bathroom/tubadzin/ashen-3.jpg;Ashen-3;2002;2002;Облицовочная плитка;68504669;1,07;17987;298;598;23,35;EUR
501;ASHEN 4 beige;/images/bathroom/tubadzin/ashen-4.jpg;Ashen-4;2002;2002;Облицовочная плитка;68504669;1,07;17987;298;598;23,35;EUR
502;D-ASHEN dekor 3 brown;/images/bathroom/tubadzin/d-ashen_3.jpg;D-Ashen 3;2002;2002;Декор;68508128;6;3133;298;598;12,55;EUR
503;D-ASHEN dekor 4 beige;/images/bathroom/tubadzin/d-ashen_4.jpg;D-Ashen 4;2002;2002;Декор;68508129;6;3133;298;598;12,55;EUR
504;L-ASHEN 1 (2,3*59,8);/images/bathroom/tubadzin/l-ashen-1.jpg;L-Ashen-1;2002;2002;Бордюр;68208840;14;274;23;598;4,15;EUR
505;MS-ASHEN 3 brown (29,8*29,8);/images/bathroom/tubadzin/ms-ashen_3.jpg;MS-Ashen 3;2002;2002;Мозаика;68505915;9;1322;298;298;6,3;EUR
506;MS-ASHEN 4 beige (29,8*29,8);/images/bathroom/tubadzin/ms-ashen_4.jpg;MS-Ashen 4;2002;2002;Мозаика;68505915;9;1322;298;298;6,3;EUR
507;P-ASHEN 3 brown;/images/bathroom/tubadzin/p-ashen-3.jpg;P-Ashen-3;2002;2002;Напольная плитка;69160527;1,6;19188;448;448;20,3;EUR
508;P-ASHEN 4 beige;/images/bathroom/tubadzin/p-ashen-4.jpg;P-Ashen-4;2002;2002;Напольная плитка;69939089;1,6;19188;448;448;20,3;EUR
500;BIHARA krem;/images/bathroom/tubadzin/bihara_krem_22x44.jpg;Bihara krem 22x44;2003;2003;Облицовочная плитка;68977854;1,5;14330;223;448;14,55;EUR
501;BIHARA szara;/images/bathroom/tubadzin/bihara_szara_22x44.jpg;Bihara szara 22x44;2003;2003;Облицовочная плитка;68977858;1,5;14330;223;448;14,55;EUR
502;BIHARA grafit;/images/bathroom/tubadzin/bihara_grafit_22x44.jpg;Bihara grafit 22x44;2003;2003;Облицовочная плитка;68977870;1,5;14330;223;448;14,55;EUR
503;D-BIHARA modern;/images/bathroom/tubadzin/bihara_modern_22x44.jpg;Bihara modern 22x44;2003;2003;Декор;68977850;10;1518;223;448;4,9;EUR
504;L-BIHARA modern  (7,1*44,8);/images/bathroom/tubadzin/bihara_modern_7x44.jpg;Bihara modern 7x44;2003;2003;Бордюр;68977852;11;518;71;448;2,5;EUR
505;MS-BIHARA grafit (29,8*29,8);/images/bathroom/tubadzin/m-bihara_grafit_30x30.jpg;m-bihara grafit 30x30;2003;2003;Мозаика;68977715;11;988;298;298;7,65;EUR
506;P-BIHARA krem;/images/bathroom/tubadzin/bihara_krem_45x45.jpg;bihara krem 45x45;2003;2003;Напольная плитка;69801533;1,62;18950;450;450;17,15;EUR
507;P-BIHARA szara;/images/bathroom/tubadzin/bihara_szara_45x45.jpg;bihara szara 45x45;2003;2003;Напольная плитка;68977695;1,62;18950;450;450;17,15;EUR
500;BILOBA beige;/images/bathroom/tubadzin/biloba_beige.jpg;biloba beige;2004;2004;Облицовочная плитка;68925579;1,12;18018;308;608;17,5;EUR
501;BILOBA brown;/images/bathroom/tubadzin/biloba_brown.jpg;biloba brown;2004;2004;Облицовочная плитка;69098736;1,12;18019;308;608;17,5;EUR
502;P-BILOBA brown;/images/bathroom/tubadzin/biloba_brown_45.jpg;biloba brown 45;2004;2004;Напольная плитка;68925582;1,62;18950;450;450;17,5;EUR
503;BILOBA beige панно 2 пл;/images/bathroom/tubadzin/biloba_beige_set.jpg;biloba beige set;2004;2004;Декор;68925584;3;6727;616;608;23,35;EUR
504;L-BILOBA brown  (60,8*3,9);/images/bathroom/tubadzin/biloba_brown_listwa.jpg;biloba brown listwa;2004;2004;Бордюр;69444774;10;230;39;608;6,2;EUR
505;MS-BILOBA brown (32,4*32,4);/images/bathroom/tubadzin/ms-biloba-brown.jpg;MS-Biloba-brown;2004;2004;Мозаика;70905361;10;1520;324;324;7,4;EUR
500;DUO szara;/images/bathroom/tubadzin/duo_szara.jpg;duo szara;2005;2005;Облицовочная плитка;70478254;1,12;18027;308;608;17,5;EUR
501;DUO grafit;/images/bathroom/tubadzin/duo_graphite.jpg;duo graphite;2005;2005;Облицовочная плитка;70478255;1,12;18027;308;608;17,5;EUR
502;D-DUO szara;/images/bathroom/tubadzin/duo_dekor_szary.jpg;duo dekor szary;2005;2005;Декор;70484247;6;3133;308;608;7,15;EUR
503;D-DUO braz;/images/bathroom/tubadzin/dekor_duo_braz.jpg;dekor duo braz;2005;2005;Декор;70523111;6;3133;308;608;10,32;EUR
504;L-DUO szara (14,8*60,8);/images/bathroom/tubadzin/duo_listwa_szara.jpg;duo listwa szara;2005;2005;Бордюр;70485296;10;1200;148;608;4,7;EUR
505;L-DUO braz (2,3*60,8);/images/bathroom/tubadzin/listwa_duo_braz.jpg;listwa duo braz;2005;2005;Бордюр;70523099;20;170;23;608;2,62;EUR
506;MS-DUO szara (29,8*29,8);/images/bathroom/tubadzin/ms-duo_szara_30x30.jpg;MS-duo szara 30x30;2005;2005;Мозаика;70480100;9;988;298;298;6,3;EUR
507;P-DUO szara;/images/bathroom/tubadzin/p_duo_szara_45x45.jpg;P duo szara 45x45;2005;2005;Напольная плитка;70478899;1,62;18950;450;450;17,15;EUR
508;P-DUO grafit;/images/bathroom/tubadzin/p_duo_graphite_45x45.jpg;P duo graphite 45x45;2005;2005;Напольная плитка;70478663;1,62;18950;450;450;17,15;EUR
500;ELIDA 3 beige;/images/bathroom/tubadzin/elida_3.jpg;Elida 3;2006;2006;Облицовочная плитка;68390473;1,5;14330;223;448;14,15;EUR
501;ELIDA 1 brown;/images/bathroom/tubadzin/elida_1.jpg;Elida 1;2006;2006;Облицовочная плитка;68390474;1,5;14330;223;448;14,15;EUR
502;L-ELIDA stone (7,1*44,8);/images/bathroom/tubadzin/listwa_scienna_elida_stone.jpg;listwa scienna Elida stone;2006;2006;Бордюр;68389080;12;517;71;448;2,22;EUR
503;D-ELIDA stone 1;/images/bathroom/tubadzin/d-elida_stone_1.jpg;D-Elida Stone 1;2006;2006;Декор;68389083;11;1518;223;448;5,15;EUR
504;D-ELIDA stone 2;/images/bathroom/tubadzin/d-elida_stone_2.jpg;D-Elida Stone 2;2006;2006;Декор;68389084;11;1518;223;448;5,15;EUR
505;L-GLASS brown  (1*44,8);/images/bathroom/tubadzin/l-glass_brown_10x448.jpg;L-glass brown 10x448;2006;2006;Бордюр;68650639;15;93;10;448;3,65;EUR
506;MS-ELIDA 3 beige (29,8*29,8);/images/bathroom/tubadzin/ms-elida_3.jpg;MS-Elida 3;2006;2006;Мозаика;68849505;10;882;298;298;6,3;EUR
507;MS-ELIDA 1 brown (29,8*29,8);/images/bathroom/tubadzin/ms-elida_1.jpg;MS-Elida 1;2006;2006;Мозаика;68849504;10;882;298;298;6,3;EUR
508;P-ELIDA 3 beige;/images/bathroom/tubadzin/p-elida_3.jpg;P-Elida 3;2006;2006;Напольная плитка;68833425;1,33;17235;333;333;14,9;EUR
509;P-ELIDA 1 brown;/images/bathroom/tubadzin/p-elida_1.jpg;P-Elida 1;2006;2006;Напольная плитка;68389268;1,33;17235;333;333;14,9;EUR
500;ELIDA 6 white;/images/bathroom/tubadzin/elida_6.jpg;Elida 6;2007;2007;Облицовочная плитка;68650624;1,5;14330;223;448;14,15;EUR
501;ELIDA 5 blue;/images/bathroom/tubadzin/elida_5.jpg;Elida 5;2007;2007;Облицовочная плитка;68650626;1,5;14330;223;448;14,15;EUR
502;L-ELIDA landscape (7,1*44,8);/images/bathroom/tubadzin/elida_landscape.jpg;Elida Landscape;2007;2007;Бордюр;68649358;12;517;71;448;3,5;EUR
503;D-ELIDA landscape 1 остров;/images/bathroom/tubadzin/d-elida_landscape_1.jpg;D-Elida Landscape 1;2007;2007;Декор;68650630;11;1518;223;448;4,67;EUR
504;D-ELIDA landscape 2 лагуна;/images/bathroom/tubadzin/d-elida_landscape_2.jpg;D-Elida Landscape 2;2007;2007;Декор;68650628;11;1518;223;448;4,67;EUR
505;L-GLASS blue  (1*44,8);/images/bathroom/tubadzin/profil_glass_blu.jpg;Profil Glass Blu;2007;2007;Бордюр;68650639;15;93;10;448;3,65;EUR
506;MS-ELIDA 6 white (29,8*29,8);/images/bathroom/tubadzin/ms-elida_6.jpg;MS-Elida 6;2007;2007;Мозаика;68650634;10;882;298;298;6,3;EUR
507;MS-ELIDA 5 blue (29,8*29,8);/images/bathroom/tubadzin/ms-_elida_5.jpg;MS- Elida 5;2007;2007;Мозаика;68650634;10;882;298;298;6,3;EUR
508;P-ELIDA 5 blue;/images/bathroom/tubadzin/p-elida_5.jpg;P-Elida 5;2007;2007;Напольная плитка;68650557;1,33;17235;333;333;14,9;EUR
500;P-EPOXY grey poler (29,8*59,8);/images/bathroom/tubadzin/epoxy-gray-298.jpg;Epoxy-gray-298;2008;2008;Напольная плитка;68925632;1,07;24411;598;298;28,6;EUR
501;P-EPOXY grafit poler (29,8*59,8);/images/bathroom/tubadzin/epoxy-90-graph-p.jpg;epoxy-90-graph-p;2008;2008;Напольная плитка;;1,07;24411;598;298;28,6;EUR
502;D-PEBBLE;/images/bathroom/tubadzin/d-pebble.jpg;D-Pebble;2008;2008;Декор;68925639;6;3133;298;598;10,47;EUR
503;MG-EPOXY grey (29,8*29,8);/images/bathroom/tubadzin/moz-epoxy-gray-1.jpg;Moz-Epoxy-gray-1;2008;2008;Мозаика;68925636;8;2275;298;298;8,85;EUR
504;MG-EPOXY grafit (29,8*29,8);/images/bathroom/tubadzin/moz-epoxy-graphite-1.jpg;Moz-Epoxy-graphite-1;2008;2008;Мозаика;;8;2275;298;298;8,85;EUR
505;P-EPOXY grey poler (59,8*59,8);/images/bathroom/tubadzin/epoxy-gray-1.jpg;Epoxy-gray-1;2008;2008;Напольная плитка;;1,43;25890;598;598;28,6;EUR
506;P-EPOXY grafit poler (59,8*59,8);/images/bathroom/tubadzin/epoxy-graphite-1.jpg;Epoxy-graphite-1;2008;2008;Напольная плитка;68925629;1,43;25890;598;598;28,6;EUR
500;JOY biala STR;/images/bathroom/tubadzin/pytka_scienna_joy_biala_223x448.jpg;Pytka scienna Joy biala 223x448;2009;2009;Облицовочная плитка;70477756;1,2;14330;223;448;14,15;EUR
501;JOY szara STR серая;/images/bathroom/tubadzin/plytka_scienna_joy_szara_223x448.jpg;Plytka scienna JOY szara 223x448;2009;2009;Облицовочная плитка;70477751;1,2;14330;223;448;14,15;EUR
502;JOY szarna STR черная;/images/bathroom/tubadzin/plytka_scienna_joy_czarna_223x448.jpg;Plytka scienna JOY czarna 223x448;2009;2009;Облицовочная плитка;70477872;1,2;14330;223;448;14,15;EUR
503;D-JOY 2 Метро;/images/bathroom/tubadzin/dekoracja_scienan_joy_2_223x448.jpg;Dekoracja scienan JOY 2 223x448;2009;2009;Декор;70481200;10;1518;223;448;4,7;EUR
504;D-JOY 3 Велосипед;/images/bathroom/tubadzin/dekoracja_scienna_joy_3_223x448.jpg;Dekoracja scienna JOY 3 223x448;2009;2009;Декор;70481227;10;1518;223;448;4,7;EUR
505;D-JOY 4 Пластинка;/images/bathroom/tubadzin/dekoracja_scienna_joy_4_223x448.jpg;Dekoracja scienna JOY 4 223x448;2009;2009;Декор;70936310;10;1518;223;448;4,7;EUR
506;D-JOY 5 Ноты;/images/bathroom/tubadzin/dekoracja_scienna_joy_5_223x448.jpg;Dekoracja scienna JOY 5 223x448;2009;2009;Декор;70936312;10;1518;223;448;4,7;EUR
507;MS-JOY biala (29,8*29,8);/images/bathroom/tubadzin/ms-joy_biala.jpg;MS-Joy biala;2009;2009;Мозаика;70480040;10;988;298;298;6,3;EUR
508;MS-JOY czarna (29,8*29,8);/images/bathroom/tubadzin/ms-joy_czarna.jpg;MS-Joy czarna;2009;2009;Мозаика;70480056;10;988;298;298;6,3;EUR
509;P-INDIGO biale;/images/bathroom/tubadzin/indigo_bialy_33x33.jpg;Indigo bialy 33x33;2009;2009;Напольная плитка;70478907;1,33;17237;333;333;12,85;EUR
510;P-INDIGO szare;/images/bathroom/tubadzin/indigo_szary_33x33.jpg;Indigo szary 33x33;2009;2009;Напольная плитка;70478906;1,33;17237;333;333;12,85;EUR
500;LAVISH beige;/images/bathroom/tubadzin/ps-lavish-beige.jpg;PS-Lavish-beige;2010;2010;Облицовочная плитка;68208977;1,5;14330;223;448;14,15;EUR
501;LAVISH brown;/images/bathroom/tubadzin/ps-lavish-brown.jpg;PS-Lavish-brown;2010;2010;Облицовочная плитка;68208981;1,5;14330;223;448;14,15;EUR
502;LAVISH profil (5,0*44,8);/images/bathroom/tubadzin/pc-lavish.jpg;PC-Lavish;2010;2010;Бордюр;68208993;7;428;50;448;2,85;EUR
503;D-LAVISH beige;/images/bathroom/tubadzin/ds-lavish-beige.jpg;DS-Lavish-beige;2010;2010;Декор;68209006;11;1518;223;448;7,1;EUR
504;D-LAVISH brown;/images/bathroom/tubadzin/ds-lavish-brown.jpg;DS-Lavish-brown;2010;2010;Декор;68209406;10;1440;223;448;7,1;EUR
505;L-LAVISH (3,5*44,8);/images/bathroom/tubadzin/ls-lavish.jpg;LS-Lavish;2010;2010;Бордюр;68208990;48;234;35;448;1,95;EUR
506;L-LAVISH beige (10,5*44,8);/images/bathroom/tubadzin/ls-lavish-beige.jpg;LS-Lavish-beige;2010;2010;Бордюр;68208985;11;738;105;448;4,9;EUR
507;L-LAVISH brown (10,5*44,8);/images/bathroom/tubadzin/ls-lavish-brown.jpg;LS-Lavish-brown;2010;2010;Бордюр;68208988;11;738;105;448;4,9;EUR
508;P-LAVISH beige;/images/bathroom/tubadzin/pp-lavish-beige.jpg;PP-Lavish-beige;2010;2010;Напольная плитка;68504823;1,62;18950;450;450;17,5;EUR
509;P-LAVISH brown;/images/bathroom/tubadzin/pp-lavish-brown.jpg;PP-Lavish-brown;2010;2010;Напольная плитка;68209452;1,62;18950;450;450;17,5;EUR
500;MARBEL szara;/images/bathroom/tubadzin/marbel_szara.jpg;Marbel szara;2011;2011;Облицовочная плитка;70477887;1,5;14330;223;448;14,15;EUR
501;MARBEL szara STR;/images/bathroom/tubadzin/marbel_szara_str.jpg;Marbel szara STR;2011;2011;Облицовочная плитка;70477890;1,5;16863;223;448;16,65;EUR
502;P-MARBEL szara;/images/bathroom/tubadzin/marbel_szara_45x45.jpg;Marbel szara 45x45;2011;2011;Напольная плитка;70478287;1,62;18950;450;450;17,15;EUR
503;D-MARBEL szara 1;/images/bathroom/tubadzin/dekoe_marbel_szara_1.jpg;Dekoe Marbel szara 1;2011;2011;Декор;70481620;10;1518;223;448;4,7;EUR
504;D-MARBEL szara 2;/images/bathroom/tubadzin/dekor_marbel_szara_2.jpg;Dekor Marbel szara 2;2011;2011;Декор;70481621;10;1518;223;448;4,7;EUR
505;L-MARBEL szara (4,5*44,8);/images/bathroom/tubadzin/listwa_marbel_szara.jpg;Listwa Marbel szara;2011;2011;Бордюр;70486122;7;370;45;448;3,7;EUR
500;MAXIMA white STR;/images/bathroom/tubadzin/s-maxima_white_str_448x223.jpg;S-maxima white STR 448x223;2012;2012;Облицовочная плитка;68209728;1,2;16863;223;448;13,5;EUR
501;MAXIMA sapphire STR;/images/bathroom/tubadzin/s-maxima_sapphire_str_448x223.jpg;S-Maxima sapphire STR 448x223;2012;2012;Облицовочная плитка;68209704;1,2;16863;223;448;13,5;EUR
502;MAXIMA azure STR;/images/bathroom/tubadzin/s-maxima_azure_str_448x223.jpg;S-Maxima azure STR 448x223;2012;2012;Облицовочная плитка;68209801;1,2;16863;223;448;13,5;EUR
503;MAXIMA azure 1 Лагуна, панно 6 пл;/images/bathroom/tubadzin/obraz_maxima_azure_1_898x673.jpg;Obraz Maxima azure 1 898x673;2012;2012;Декор;68210067;2;9630;669;896;32,55;EUR
504;L-MAXIMA azure 1 Лагуна (10,5*44,8);/images/bathroom/tubadzin/l-maxima_azure_1_448x105.jpg;L-Maxima azure 1 448x105;2012;2012;Бордюр;68209953;24;718;105;448;4,9;EUR
505;L-GLASS azure  (1*44,8);/images/bathroom/tubadzin/l-glass_azure_10x448.jpg;L-glass azure 10x448;2012;2012;Бордюр;68210003;15;93;10;448;3,65;EUR
506;P-MAXIMA white;/images/bathroom/tubadzin/p-maxima_white_450x450.jpg;P-Maxima white 450x450;2012;2012;Напольная плитка;68849533;1,62;18950;450;450;14,8;EUR
507;P-MAXIMA azure;/images/bathroom/tubadzin/p-maxima_azure_450x450.jpg;P-Maxima azure 450x450;2012;2012;Напольная плитка;68209951;1,62;18950;450;450;14,8;EUR
500;MAXIMA white STR;/images/bathroom/tubadzin/s-maxima_white_str_448x223.jpg;S-maxima white STR 448x223;2013;2013;Облицовочная плитка;68209728;1,2;16863;223;448;13,5;EUR
501;MAXIMA grey STR;/images/bathroom/tubadzin/s-maxima_grey_str_448x223.jpg;S-Maxima grey STR 448x223;2013;2013;Облицовочная плитка;68209797;1,2;16863;223;448;13,5;EUR
502;MAXIMA black STR;/images/bathroom/tubadzin/s-maxima_black_str_448x223.jpg;S-Maxima Black STR 448x223;2013;2013;Облицовочная плитка;68209799;1,2;16863;223;448;13,5;EUR
503;MAXIMA black 2 Орхидея, панно 6 пл;/images/bathroom/tubadzin/obraz_maxima_black_2_898x673.jpg;Obraz Maxima black 2 898x673;2013;2013;Декор;68210083;2;9630;669;896;32,55;EUR
504;L-MAXIMA black 2 Цветы (10,5*44,8);/images/bathroom/tubadzin/l-maxima_black_2_448x105.jpg;L-Maxima black 2 448x105;2013;2013;Бордюр;68209997;24;718;105;448;4,9;EUR
505;L-GLASS black  (1*44,8);/images/bathroom/tubadzin/l-glass_black.jpg;L-glass black;2013;2013;Бордюр;68210029;15;93;10;448;3,65;EUR
506;P-MAXIMA white;/images/bathroom/tubadzin/p-maxima_white_450x450.jpg;P-Maxima white 450x450;2013;2013;Напольная плитка;68849533;1,62;18950;450;450;14,8;EUR
507;P-MAXIMA grey;/images/bathroom/tubadzin/p-maxima_grey_450x450.jpg;P-Maxima grey 450x450;2013;2013;Напольная плитка;68701667;1,62;18950;450;450;14,8;EUR
500;MAXIMA beige;/images/bathroom/tubadzin/s-maxima_beige_448x223.jpg;S-Maxima beige 448x223;2014;2014;Облицовочная плитка;68264104;1,5;14330;223;448;13;EUR
501;MAXIMA beige STR;/images/bathroom/tubadzin/s-maxima_beige_str.jpg;S-maxima beige str;2014;2014;Облицовочная плитка;68209803;1,2;16863;223;448;13,5;EUR
