IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;ROT 9515 ELE;/images/cerrad_160421/rot_9515_elewacja.jpg;rot_9515_elewacja;2100;2100;Клинкер фасад;74060661;0,50;13 600;245,00;65,00;9,18;EUR
501;ROT 5241 KLINK;/images/cerrad_160421/rot_5241.jpg;rot_5241;2100;2100;Клинкер пол;73868459;0,72;17 900;300,00;300,00;13,89;EUR
502;ROT 6538 PODST;/images/cerrad_160421/rot_6538_podstopnica.jpg;rot_6538_podstopnica;2100;2100;Подступёнок;73868669;16,00;17 700;300,00;148,00;1,00;EUR
503;ROT 5616 ST PRO;/images/cerrad_160421/rot_5616_stpro.jpg;rot_5616_stpro;2100;2100;Ступень;73868926;8,00;17 900;300,00;300,00;1,57;EUR
504;ROT 0514 ST NAR;/images/cerrad_160421/rot_5814_stnar.jpg;rot_5814_stnar;2100;2100;Ступень;73868966;8,00;17 900;300,00;300,00;2,17;EUR
505;ROT 0514 V-shape;/images/cerrad_160421/rot_0514_v-shape.jpg;rot_0514_v-shape;2100;2100;Ступень;73868976;4,00;11 700;300,00;300,00;6,88;EUR
500;BURGUND 9553 ELE;/images/cerrad_160421/burgund_9553_elewacja.jpg;burgund_9553_elewacja;2101;2101;Клинкер фасад;74060660;0,50;13 600;245,00;65,00;9,18;EUR
501;BURGUND 5258 KLINK;/images/cerrad_160421/burgund_5258.jpg;burgund_5258;2101;2101;Клинкер пол;73868492;0,72;17 900;300,00;300,00;13,89;EUR
502;BURGUND 6545 PODST;/images/cerrad_160421/burgund_6545_podstopnica.jpg;burgund_6545_podstopnica;2101;2101;Подступёнок;73868823;16,00;17 700;300,00;148,00;1,00;EUR
503;BURGUND 5623 ST PRO;/images/cerrad_160421/burgund_5623_stpro.jpg;burgund_5623_stpro;2101;2101;Ступень;73868928;8,00;17 900;300,00;300,00;1,57;EUR
504;BURGUND 5821 ST NAR;/images/cerrad_160421/burgund_0307_stnar.jpg;burgund_0307_stnar;2101;2101;Ступень;73868963;8,00;17 900;300,00;300,00;2,17;EUR
505;BURGUND 0637 V-shape;/images/cerrad_160421/burgund_0637_v-shape.jpg;burgund_0637_v-shape;2101;2101;Ступень;73868973;4,00;11 700;300,00;300,00;6,88;EUR
500;BROWN 9683 ELE;/images/cerrad_160421/brown_9683_elewacja.jpg;brown_9683_elewacja;2102;2102;Клинкер фасад;74060659;0,50;13 600;245,00;65,00;9,18;EUR
501;BROWN 5302 KLINK;/images/cerrad_160421/brown_5302.jpg;brown_5302;2102;2102;Клинкер пол;73868496;0,72;17 900;300,00;300,00;13,89;EUR
502;BROWN 6576 PODST;/images/cerrad_160421/brown_6576_podstopnica.jpg;brown_6576_podstopnica;2102;2102;Подступёнок;73868825;16,00;17 700;300,00;148,00;1,00;EUR
503;BROWN 5302 ST PRO;/images/cerrad_160421/brown_5678_stpro.jpg;brown_5678_stpro;2102;2102;Ступень;73868931;8,00;17 900;300,00;300,00;1,57;EUR
504;BROWN 5876 ST NAR;/images/cerrad_160421/brown_5876_stnar.jpg;brown_5876_stnar;2102;2102;Ступень;73868964;8,00;17 900;300,00;300,00;2,17;EUR
500;SAND 9669 ELE;/images/cerrad_160421/sand_9669_elewacja.jpg;sand_9669_elewacja;2103;2103;Клинкер фасад;74060662;0,50;13 600;245,00;65,00;9,18;EUR
