Номенклатор;Зак. цена;Зак. валюта
IP_PROP14;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
68382621;3,71;EUR
68382688;7,89;EUR
68382689;7,89;EUR
68382690;7,89;EUR
68382632;17,10;EUR
68382682;7,89;EUR
68382681;7,89;EUR
68382623;31,57;EUR
68382683;7,89;EUR
68382684;7,89;EUR
68382685;7,89;EUR
68382686;7,89;EUR
68382687;7,89;EUR
68382662;7,85;EUR
68382678;7,85;EUR
68382567;11,38;EUR
68382575;11,38;EUR
68382584;11,38;EUR
68382576;11,38;EUR
50740215;5,02;EUR
50989143;5,92;EUR
50988868;5,92;EUR
66919557;14,86;EUR
49999113;14,86;EUR
45020915;14,86;EUR
68385469;43,60;EUR
65192449;16,54;EUR
68384267;18,05;EUR
63376135;8,82;EUR
63376134;8,82;EUR
63376133;8,82;EUR
64735757;8,82;EUR
69229422;8,82;EUR
64735755;8,82;EUR
63376225;11,05;EUR
63376068;12,50;EUR
63376080;12,50;EUR
63376079;12,50;EUR
7662550;15,52;EUR
1098113;15,52;EUR
25448414;3,30;EUR
25448156;8,29;EUR
25448158;8,29;EUR
26315037;7,23;EUR
27023756;11,05;EUR
26315004;12,50;EUR
25448131;12,90;EUR
