Номенклатор;Зак. цена;Зак. валюта
IP_PROP14;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
69796276;440,00;RUB
69796295;440,00;RUB
69796299;440,00;RUB
69797981;90,00;RUB
69797959;105,00;RUB
69797958;105,00;RUB
69797982;90,00;RUB
69797962;105,00;RUB
69797420;175,00;RUB
69797447;195,00;RUB
69797448;195,00;RUB
69797439;195,00;RUB
69797440;195,00;RUB
69797441;195,00;RUB
69797442;195,00;RUB
69797459;195,00;RUB
69797461;195,00;RUB
69797451;195,00;RUB
69797452;195,00;RUB
69797453;195,00;RUB
69797454;195,00;RUB
69797430;195,00;RUB
69797433;195,00;RUB
69797435;195,00;RUB
69797436;195,00;RUB
69797425;175,00;RUB
69796317;430,00;RUB
69796315;430,00;RUB
69796830;405,00;RUB
69796866;405,00;RUB
69796868;405,00;RUB
69812375;483,00;RUB
69797986;101,00;RUB
69797463;195,00;RUB
69797464;195,00;RUB
69797465;195,00;RUB
69797466;195,00;RUB
69796303;420,00;RUB
69796302;420,00;RUB
69796872;385,00;RUB
69796870;385,00;RUB
69797947;110,00;RUB
69797909;105,00;RUB
69797300;230,00;RUB
69797301;230,00;RUB
69797302;260,00;RUB
69797303;260,00;RUB
69797304;260,00;RUB
69796212;490,00;RUB
69796777;535,00;RUB
69796733;535,00;RUB
69797989;75,00;RUB
69797553;175,00;RUB
69797554;175,00;RUB
69797557;175,00;RUB
69797535;190,00;RUB
69797536;190,00;RUB
69797537;190,00;RUB
69797538;190,00;RUB
69797539;190,00;RUB
69797540;190,00;RUB
69797541;190,00;RUB
69797542;190,00;RUB
69797543;190,00;RUB
69797556;175,00;RUB
69797559;175,00;RUB
69797555;175,00;RUB
69797558;175,00;RUB
72833213;430,00;RUB
69796874;405,00;RUB
69796879;405,00;RUB
71512627;260,00;RUB
71512625;260,00;RUB
73246981;260,00;RUB
71512631;540,00;RUB
71512629;540,00;RUB
71512643;590,00;RUB
71512641;590,00;RUB
73246983;590,00;RUB
69798002;47,00;RUB
69798005;47,00;RUB
69797835;107,00;RUB
69797879;107,00;RUB
69797885;50,00;RUB
69796326;399,00;RUB
69797242;345,00;RUB
69797243;345,00;RUB
69797905;396,00;RUB
69796192;495,00;RUB
69790671;540,00;RUB
69796178;540,00;RUB
69797956;110,00;RUB
69797310;260,00;RUB
69812851;540,00;RUB
69796791;590,00;RUB
69812855;590,00;RUB
69796789;480,00;RUB
69797769;190,00;RUB
69797770;190,00;RUB
69797771;190,00;RUB
69797772;190,00;RUB
69797786;198,00;RUB
69797813;198,00;RUB
69796321;420,00;RUB
69796897;385,00;RUB
69796899;385,00;RUB
71512607;110,00;RUB
71512623;260,00;RUB
71512633;540,00;RUB
71512635;590,00;RUB
71512637;590,00;RUB
71512639;590,00;RUB
69797950;105,00;RUB
69797952;105,00;RUB
69797951;105,00;RUB
69797268;240,00;RUB
69797270;240,00;RUB
69797271;240,00;RUB
69797284;240,00;RUB
69797285;240,00;RUB
69797274;240,00;RUB
69797276;240,00;RUB
69797277;240,00;RUB
69797280;240,00;RUB
69797281;240,00;RUB
69796222;490,00;RUB
69796240;490,00;RUB
69796255;490,00;RUB
69796781;535,00;RUB
69796783;535,00;RUB
69796785;535,00;RUB
69796787;535,00;RUB
