Номенклатор;Зак. цена;Зак. валюта
nommodif.RN;Цена;Валюта
59055426;150,00;RUB
59056570;800,00;RUB
59056567;1 100,00;RUB
59055372;750,00;RUB
59055336;1 400,00;RUB
54418622;100,00;RUB
54418547;100,00;RUB
55474902;100,00;RUB
55474996;100,00;RUB
55474982;100,00;RUB
55474986;100,00;RUB
55474942;150,00;RUB
54417534;600,00;RUB
54417539;600,00;RUB
33280353;50,00;RUB
33280356;700,00;RUB
33281919;500,00;RUB
33281627;500,00;RUB
33281020;35,00;RUB
33280944;40,00;RUB
66357437;750,00;RUB
62346968;750,00;RUB
39968546;100,00;RUB
34532960;350,00;RUB
34525521;800,00;RUB
34523684;600,00;RUB
33353656;700,00;RUB
33353511;750,00;RUB
