IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;AMICHE beige;/images/paradyz_160421/amiche_beige_1_300x600.jpg;amiche_beige_1_300x600;4060;4060;Облицовочная плитка;73498002;0,90;17 444;300,00;600,00;11,85;EUR
501;AMICHE brown;/images/paradyz_160421/amiche_brown_300x600.jpg;amiche_brown_300x600;4060;4060;Облицовочная плитка;73498003;0,90;17 444;300,00;600,00;11,85;EUR
502;AMICHE beige A;/images/paradyz_160421/amiche_beige_inserto_a.jpg;amiche_beige_inserto_a;4060;4060;Декор;73498018;4,00;3 350;300,00;600,00;8,20;EUR
503;AMICHE beige B;/images/paradyz_160421/amiche_beige_inserto_b.jpg;amiche_beige_inserto_b;4060;4060;Декор;73498019;4,00;3 350;300,00;600,00;8,20;EUR
504;AMICHE beige C;/images/paradyz_160421/amiche_beige_inserto_c.jpg;amiche_beige_inserto_c;4060;4060;Декор;73498020;4,00;3 350;300,00;600,00;8,20;EUR
505;AMICHE beige D;/images/paradyz_160421/amiche_beige_inserto_d.jpg;amiche_beige_inserto_d;4060;4060;Декор;73856463;4,00;3 350;300,00;600,00;8,20;EUR
506;AMICHE beige Mozaika (29,8*29,8);/images/paradyz_160421/amiche_beige_mozaika.jpg;amiche_beige_mozaika;4060;4060;Мозаика;73498030;7,00;1 500;298,00;298,00;4,35;EUR
507;AMICHE brown Mozaika (29,8*29,8);/images/paradyz_160421/amiche_brown_mozaika.jpg;amiche_brown_mozaika;4060;4060;Мозаика;74018815;7,00;1 500;298,00;298,00;4,35;EUR
508;AMICI beige;/images/paradyz_160421/amichi_beige.jpg;amichi_beige;4060;4060;Напольная плитка;73498007;1,60;17 970;400,00;400,00;11,95;EUR
500;CORALINE beige;/images/paradyz_160421/coraline_beige_plytka_scienna_300x600.jpg;coraline_beige_plytka_scienna_300x600;4062;4062;Облицовочная плитка;73855101;0,90;17 444;300,00;600,00;11,85;EUR
